director_name,actor_2_name,gross,genres_x,actor_1_name,movie_title,budget_x,imdb_score,budget_y,genres_y,id,imdb_id,original_language,original_title,revenue
Chris Butler,Kodi Smit-McPhee,55994557.0,Adventure|Animation|Comedy|Family|Fantasy,Anna Kendrick,ParaNorman,60000000.0,7.0,60000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",77174,tt1623288,en,ParaNorman,107139399.0
Michael Caton-Jones,Bruce Willis,54910560.0,Action|Adventure|Crime|Thriller,J.K. Simmons,The Jackal,60000000.0,6.3,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",4824,tt0119395,en,The Jackal,159330280.0
John Woo,Joe Morton,53789313.0,Action|Mystery|Sci-Fi|Thriller,Ivana Milicevic,Paycheck,60000000.0,6.3,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",9620,tt0338337,en,Paycheck,96269812.0
Jon Avnet,Stockard Channing,51045801.0,Drama|Romance,Joe Mantegna,Up Close & Personal,60000000.0,6.1,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9302,tt0118055,en,Up Close & Personal,0.0
Sam Fell,Matthew Broderick,50818750.0,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,The Tale of Despereaux,60000000.0,6.1,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",10199,tt0420238,en,The Tale of Despereaux,50877145.0
,Oliver Hudson,,Comedy|Romance,Bianca Kajlich,Rules of Engagement,,7.3,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",10479,tt0160797,en,Rules of Engagement,71000000.0
Kevin Donovan,Debi Mazar,50189179.0,Action|Comedy|Sci-Fi,Romany Malco,The Tuxedo,60000000.0,5.3,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",10771,tt0290095,en,The Tuxedo,0.0
Geoff Murphy,Brenda Bakke,50024083.0,Action|Thriller,Peter Greene,Under Siege 2: Dark Territory,60000000.0,5.4,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3512,tt0114781,en,Under Siege 2: Dark Territory,104324083.0
Kenneth Branagh,Nonso Anozie,50549107.0,Action|Drama|Thriller,Colm Feore,Jack Ryan: Shadow Recruit,60000000.0,6.2,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",137094,tt1205537,en,Jack Ryan: Shadow Recruit,50549107.0
David O. Russell,Robert De Niro,56443482.0,Biography|Comedy|Drama,Jennifer Lawrence,Joy,60000000.0,6.6,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",274479,tt2446980,en,Joy,101134059.0
David O. Russell,Robert De Niro,56443482.0,Biography|Comedy|Drama,Jennifer Lawrence,Joy,60000000.0,6.6,0,[],58396,tt1465490,en,Joy,0.0
Babak Najafi,Radha Mitchell,62401264.0,Action|Crime|Drama|Thriller,Gerard Butler,London Has Fallen,60000000.0,5.9,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",267860,tt3300542,en,London Has Fallen,205754447.0
Jean-Pierre Jeunet,Michael Wincott,47748610.0,Action|Horror|Sci-Fi,Gary Dourdan,Alien: Resurrection,75000000.0,6.3,70000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",8078,tt0118583,en,Alien: Resurrection,162000000.0
Antoine Fuqua,Ned Beatty,46975183.0,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter,61000000.0,7.2,61000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",7485,tt0822854,en,Shooter,95696996.0
Graham Annable,Dee Bradley Baker,50807639.0,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,The Boxtrolls,60000000.0,6.8,60000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",170687,tt0787474,en,The Boxtrolls,108255770.0
Griffin Dunne,Dianne Wiest,46611204.0,Comedy|Drama|Fantasy|Romance,Goran Visnjic,Practical Magic,48000000.0,6.1,75000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",6435,tt0120791,en,Practical Magic,46683377.0
Phil Lord,Will Ferrell,257756197.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,The Lego Movie,60000000.0,7.8,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",137106,tt1490017,en,The Lego Movie,469160692.0
John Pasquin,Diedrich Bader,48472213.0,Action|Comedy|Crime,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous,45000000.0,5.0,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",10040,tt0385307,en,Miss Congeniality 2: Armed and Fabulous,0.0
Rob Bowman,Gerard Butler,43060566.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,Reign of Fire,60000000.0,6.2,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",6278,tt0253556,en,Reign of Fire,43061982.0
Ruben Fleischer,Brandon Molale,45996718.0,Action|Crime|Drama|Thriller,Ryan Gosling,Gangster Squad,60000000.0,6.7,60000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",82682,tt1321870,en,Gangster Squad,105200903.0
Harold Ramis,Oliver Platt,43337279.0,Adventure|Comedy,Olivia Wilde,Year One,60000000.0,4.9,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",17610,tt1045778,en,Year One,62357900.0
Clint Eastwood,Morgan Freeman,37479778.0,Biography|Drama|History|Sport,Matt Damon,Invictus,60000000.0,7.4,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",22954,tt1057500,en,Invictus,122233971.0
Kevin Macdonald,Harry Lennix,36965395.0,Crime|Drama|Mystery|Thriller,Robin Wright,State of Play,,7.1,60000000,"[{'id': 28, 'name': 'Action'}]",16995,tt0473705,en,State of Play,87784194.0
Tony Gilroy,Tom Wilkinson,40559930.0,Comedy|Crime|Romance|Thriller,Julia Roberts,Duplicity,60000000.0,6.2,78146652,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",16558,tt1135487,en,Duplicity,60000000.0
Donald Petrie,Ray Walston,36830057.0,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,My Favorite Martian,65000000.0,4.9,65000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",9849,tt0120764,en,My Favorite Martian,36850101.0
Clark Johnson,David Rasche,36279230.0,Action|Crime|Thriller,Blair Brown,The Sentinel,60000000.0,6.1,0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",18196,tt0076683,en,The Sentinel,3.0
Clark Johnson,David Rasche,36279230.0,Action|Crime|Thriller,Blair Brown,The Sentinel,60000000.0,6.1,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",5820,tt0443632,en,The Sentinel,77920346.0
Jorge Blanco,Gary Oldman,42194060.0,Adventure|Animation|Comedy|Family|Sci-Fi,Dwayne Johnson,Planet 51,70000000.0,6.1,70000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",16866,tt0762125,en,Planet 51,104945765.0
Stuart Baird,LeVar Burton,43119879.0,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Star Trek: Nemesis,60000000.0,6.4,60000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",201,tt0253754,en,Star Trek: Nemesis,67312826.0
Joel Coen,Paul Adelstein,35096190.0,Comedy|Crime|Romance,Cedric the Entertainer,Intolerable Cruelty,60000000.0,6.3,60000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11775,tt0138524,en,Intolerable Cruelty,119940815.0
Robert Lorenz,Ed Lauter,35754555.0,Drama|Sport,Clint Eastwood,Trouble with the Curve,,6.8,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",87825,tt2083383,en,Trouble with the Curve,0.0
Martin Campbell,Ray Winstone,43290977.0,Crime|Drama|Mystery|Thriller,Bojana Novakovic,Edge of Darkness,80000000.0,6.6,80000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",12201,tt1226273,en,Edge of Darkness,74901339.0
Martin Campbell,Ray Winstone,43290977.0,Crime|Drama|Mystery|Thriller,Bojana Novakovic,Edge of Darkness,80000000.0,6.6,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",55238,tt0034694,en,Edge of Darkness,0.0
Peter Hyams,Penelope Ann Miller,33927476.0,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,The Relic,40000000.0,5.7,60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",11015,tt0120004,en,The Relic,33956608.0
Harold Ramis,Cathy Moriarty,32122249.0,Comedy|Crime,Robert De Niro,Analyze That,60000000.0,5.9,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",9932,tt0289848,en,Analyze That,55003135.0
Jon Avnet,Al Pacino,40076438.0,Action|Crime|Drama|Mystery|Thriller,Robert De Niro,Righteous Kill,60000000.0,6.0,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",13389,tt1034331,en,Righteous Kill,73174566.0
Harold Becker,Miko Hughes,32940507.0,Action|Crime|Drama|Thriller,Bruce Willis,Mercury Rising,60000000.0,6.1,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8838,tt0120749,en,Mercury Rising,0.0
Harold Becker,Miko Hughes,32940507.0,Action|Crime|Drama|Thriller,Bruce Willis,Mercury Rising,60000000.0,6.1,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8838,tt0120749,en,Mercury Rising,0.0
Joe Wright,Stephen Root,31670931.0,Biography|Drama|Music,Robert Downey Jr.,The Soloist,60000000.0,6.7,60000000,"[{'id': 18, 'name': 'Drama'}]",17332,tt0821642,en,The Soloist,31720158.0
Robert Redford,Will Smith,30695227.0,Drama|Fantasy|Sport,Matt Damon,The Legend of Bagger Vance,60000000.0,6.7,80000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",4958,tt0146984,en,The Legend of Bagger Vance,39459427.0
Cameron Crowe,Zooey Deschanel,32522352.0,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,Almost Famous,60000000.0,7.9,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",786,tt0181875,en,Almost Famous,47383689.0
Lee Tamahori,Nona Gaye,26082914.0,Action|Adventure|Crime|Thriller,Sunny Mabrey,xXx: State of the Union,87000000.0,4.3,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",11679,tt0329774,en,xXx: State of the Union,71073932.0
Scott Stewart,Alan Dale,29136626.0,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest,60000000.0,5.7,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",40156,tt0110889,en,Priest,4176932.0
Scott Stewart,Alan Dale,29136626.0,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest,60000000.0,5.7,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",38321,tt0822847,en,Priest,78309131.0
Patrick Gilmore,Adriano Giannini,26288320.0,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,Brad Pitt,Sinbad: Legend of the Seven Seas,60000000.0,6.7,60000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",14411,tt0165982,en,Sinbad: Legend of the Seven Seas,26288320.0
Paul W.S. Anderson,Joely Richardson,26616590.0,Horror|Sci-Fi|Thriller,Sean Pertwee,Event Horizon,60000000.0,6.7,60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",8413,tt0119081,en,Event Horizon,26673242.0
Tom Shadyac,Susanna Thompson,30063805.0,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,Dragonfly,60000000.0,6.1,60000000,"[{'id': 18, 'name': 'Drama'}]",10052,tt0259288,en,Dragonfly,52322400.0
Tom Shadyac,Susanna Thompson,30063805.0,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,Dragonfly,60000000.0,6.1,0,"[{'id': 18, 'name': 'Drama'}]",197611,tt0075014,en,Dragonfly,0.0
Brian De Palma,Mia Kirshner,22518325.0,Crime|Drama|Mystery|Thriller,Scarlett Johansson,The Black Dahlia,50000000.0,5.6,50000000,"[{'id': 18, 'name': 'Drama'}]",9676,tt0387877,en,The Black Dahlia,49111202.0
Tony Bill,Tyler Labine,13082288.0,Action|Adventure|Drama|History|Romance|War,James Franco,Flyboys,60000000.0,6.6,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",9664,tt0454824,en,Flyboys,17800000.0
Rod Lurie,Delroy Lindo,18208078.0,Action|Drama|Thriller,Clifton Collins Jr.,The Last Castle,60000000.0,6.9,72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2100,tt0272020,en,The Last Castle,27642707.0
Walter Hill,Wilson Cruz,14218868.0,Horror|Sci-Fi|Thriller,Robert Forster,Supernova,65000000.0,4.8,90000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",10384,tt0134983,en,Supernova,14828081.0
Walter Hill,Wilson Cruz,14218868.0,Horror|Sci-Fi|Thriller,Robert Forster,Supernova,65000000.0,4.8,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",42904,tt0419373,en,Supernova,0.0
Akiva Goldsman,William Hurt,22451.0,Drama|Fantasy|Mystery|Romance,Matt Bomer,Winter's Tale,60000000.0,6.2,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",137321,tt1837709,en,Winter's Tale,30800231.0
Harald Zwart,Kevin Zegers,31165421.0,Fantasy|Horror|Mystery|Romance,Aidan Turner,The Mortal Instruments: City of Bones,60000000.0,6.0,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}]",123553,tt1538403,en,The Mortal Instruments: City of Bones,90565421.0
Brian Robbins,Mike O'Malley,11802056.0,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,Meet Dave,60000000.0,4.9,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",11260,tt0765476,en,Meet Dave,50650079.0
Walter Salles,Camryn Manheim,25472967.0,Drama|Horror|Thriller,Dougray Scott,Dark Water,30000000.0,5.6,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",9009,tt0382628,en,Dark Water,25473093.0
Ron Howard,Adam Goldberg,22362500.0,Comedy|Drama,Matthew McConaughey,Edtv,55000000.0,6.1,80000000,"[{'id': 35, 'name': 'Comedy'}]",11374,tt0131369,en,Edtv,0.0
Iain Softley,Stephen Graham,17281832.0,Adventure|Family|Fantasy,Brendan Fraser,Inkheart,60000000.0,6.1,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2309,tt0494238,en,Inkheart,57490374.0
Frank Miller,Jaime King,19781879.0,Action|Crime|Fantasy|Thriller,Scarlett Johansson,The Spirit,60000000.0,4.8,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}]",8285,tt0831887,en,The Spirit,39031337.0
David Koepp,Olivia Munn,7605668.0,Action|Comedy|Mystery|Romance,Johnny Depp,Mortdecai,60000000.0,5.5,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",210860,tt3045616,en,Mortdecai,30418560.0
Uwe Boll,Mike Dopud,4535117.0,Action|Adventure|Fantasy|Thriller,Jason Statham,In the Name of the King: A Dungeon Siege Tale,60000000.0,3.8,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",2312,tt0460780,en,In the Name of the King: A Dungeon Siege Tale,0.0
Martin Campbell,Teri Polo,4426297.0,Adventure|Drama|Romance|War,Angelina Jolie Pitt,Beyond Borders,35000000.0,6.5,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",9839,tt0294357,en,Beyond Borders,0.0
John Dahl,Clayne Crawford,10166502.0,Action|Drama|War,James Franco,The Great Raid,80000000.0,6.7,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",13922,tt0326905,en,The Great Raid,10166502.0
Tim Miller,Ed Skrein,363024263.0,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,Deadpool,58000000.0,8.1,58000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",293660,tt1431045,en,Deadpool,783112979.0
Stephen Herek,Morgan Fairchild,12065985.0,Comedy|Drama,Kelly Preston,Holy Man,60000000.0,4.9,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",9713,tt0120701,en,Holy Man,0.0
Clint Eastwood,Leonard Roberts,350123553.0,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,American Sniper,58800000.0,7.3,58800000,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",190859,tt2179136,en,American Sniper,542307423.0
Rob Letterman,Dylan Minnette,80021740.0,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps,58000000.0,6.4,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",257445,tt1051904,en,Goosebumps,158162788.0
Rob Letterman,Dylan Minnette,80021740.0,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps,58000000.0,6.4,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",257445,tt1051904,en,Goosebumps,158162788.0
Mark Waters,Ivana Milicevic,48291624.0,Comedy|Fantasy|Romance,Jon Heder,Just Like Heaven,58000000.0,6.7,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",9007,tt0425123,en,Just Like Heaven,102854431.0
Brian Levant,Mark Addy,35231365.0,Comedy|Family|Romance|Sci-Fi,Taylor Negron,The Flintstones in Viva Rock Vegas,60000000.0,3.6,83000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",889,tt0158622,en,The Flintstones in Viva Rock Vegas,59468275.0
Peter MacDonald,Kurtwood Smith,53715611.0,Action|Adventure|Thriller|War,Sylvester Stallone,Rambo III,63000000.0,5.7,63000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",1370,tt0095956,en,Rambo III,189015611.0
George Clooney,Malcolm Goodwin,31199215.0,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads,58000000.0,6.0,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",4942,tt0379865,en,Leatherheads,41299492.0
Frank Coraci,Adam Sandler,,Comedy|Western,Taylor Lautner,The Ridiculous 6,,4.9,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",347969,tt2479478,en,The Ridiculous 6,0.0
Marc Lawrence,Kim Shaw,29580087.0,Comedy|Drama|Romance,Michael Kelly,Did You Hear About the Morgans?,58000000.0,4.7,58000000,"[{'id': 35, 'name': 'Comedy'}]",24438,tt1314228,en,Did You Hear About the Morgans?,85280250.0
Shawn Levy,Jessica Szohr,44665963.0,Comedy,Josh Gad,The Internship,58000000.0,6.3,58000000,"[{'id': 35, 'name': 'Comedy'}]",116741,tt2234155,en,The Internship,44000000.0
Paul W.S. Anderson,Boris Kodjoe,60128566.0,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,Resident Evil: Afterlife,60000000.0,5.9,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",35791,tt1220634,en,Resident Evil: Afterlife,300228084.0
Anthony Hemingway,Nate Parker,49875589.0,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails,58000000.0,5.9,58000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",72431,tt0485985,en,Red Tails,50365377.0
,Kristin Davis,,Comedy|Romance,Chris Noth,Sex and the City,,7.0,65000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4564,tt1000774,en,Sex and the City,415252786.0
Taylor Hackford,Al Pacino,60984028.0,Drama|Mystery|Thriller,Keanu Reeves,The Devil's Advocate,57000000.0,7.5,57000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1813,tt0118971,en,The Devil's Advocate,152944660.0
Sean Anders,Leighton Meester,36931089.0,Comedy,Adam Sandler,That's My Boy,70000000.0,5.6,70000000,"[{'id': 35, 'name': 'Comedy'}]",87428,tt1232200,en,That's My Boy,58058367.0
Rob Cohen,Brian Thompson,51317350.0,Action|Adventure|Fantasy,Dennis Quaid,DragonHeart,57000000.0,6.4,57000000,"[{'id': 14, 'name': 'Fantasy'}]",8840,tt0116136,en,DragonHeart,115267375.0
Brett Ratner,Don Cheadle,28328132.0,Action|Comedy|Crime|Drama,Salma Hayek,After the Sunset,58000000.0,6.3,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",10589,tt0367479,en,After the Sunset,61347797.0
Mark Neveldine,Spencer Wilding,51774002.0,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider: Spirit of Vengeance,57000000.0,4.3,57000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",71676,tt1071875,en,Ghost Rider: Spirit of Vengeance,149217355.0
John Madden,Irene Papas,25528495.0,Drama|Music|Romance|War,Christian Bale,Captain Corelli's Mandolin,57000000.0,5.9,57000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1722,tt0238112,en,Captain Corelli's Mandolin,62112895.0
,Noureen DeWulf,,Comedy|Romance,Barry Corbin,Anger Management,,6.7,75000000,"[{'id': 35, 'name': 'Comedy'}]",9506,tt0305224,en,Anger Management,195745823.0
Adam Shankman,Brad Garrett,113006880.0,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier,56000000.0,5.5,56000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 53, 'name': 'Thriller'}]",10022,tt0395699,en,The Pacifier,113006880.0
Kevin Bray,Ashley Scott,45860039.0,Action|Crime,Dwayne Johnson,Walking Tall,56000000.0,6.2,56000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",11358,tt0351977,en,Walking Tall,57223890.0
