director_name,actor_2_name,gross,genres,actor_1_name,movie_title,budget,imdb_score
John McTiernan,Faye Dunaway,69304264.0,Crime|Romance|Thriller,Mark Margolis,The Thomas Crown Affair ,48000000.0,6.8
Penny Marshall,Adam Garcia,29781453.0,Biography|Comedy|Drama,Rosie Perez,Riding in Cars with Boys ,48000000.0,6.4
Ted Kotcheff,Brian Dennehy,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,14000000.0,7.7
Andrei Tarkovsky,Anatoliy Solonitsyn,,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris ,1000000.0,8.1
Paul Bolger,George Carlin,15519841.0,Adventure|Animation|Comedy|Family|Fantasy,Sarah Michelle Gellar,Happily N'Ever After ,47000000.0,4.5
Stephen Frears,Bronagh Gallagher,5600000.0,Drama|Horror|Romance|Thriller,Julia Roberts,Mary Reilly ,47000000.0,5.8
P.J. Hogan,Christopher Masterson,126805112.0,Comedy|Romance,Julia Roberts,My Best Friend's Wedding ,46000000.0,6.3
Joe Roth,Rainn Wilson,93607673.0,Comedy|Romance,Julia Roberts,America's Sweethearts ,48000000.0,5.7
Christopher Nolan,Maura Tierney,67263182.0,Drama|Mystery|Thriller,Al Pacino,Insomnia ,46000000.0,7.2
Jonathan Frakes,Alfre Woodard,92001027.0,Action|Adventure|Drama|Sci-Fi|Thriller,LeVar Burton,Star Trek: First Contact ,45000000.0,7.6
Jimmy Hayward,Billy Blair,10539414.0,Action|Drama|Fantasy|Thriller|Western,Michael Fassbender,Jonah Hex ,47000000.0,4.7
Edward Zwick,Matt Damon,58918501.0,Action|Drama|Mystery|Thriller|War,Denzel Washington,Courage Under Fire ,46000000.0,6.6
Tom Shadyac,Swoosie Kurtz,181395380.0,Comedy|Fantasy|Romance,Maura Tierney,Liar Liar ,45000000.0,6.8
Brad Furman,Amy Ryan,14946229.0,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,25000000.0,7.3
Terence Young,Ben Gazzara,,Drama|History|War,Laurence Olivier,Inchon ,48000000.0,2.7
Brian Levant,Elizabeth Perkins,130512915.0,Comedy|Family|Fantasy,Jonathan Winters,The Flintstones ,45000000.0,4.8
Olivier Megaton,Luke Grimes,139852971.0,Action|Crime|Thriller,Liam Neeson,Taken 2 ,45000000.0,6.3
David Zucker,Pamela Anderson,110000082.0,Comedy,Regina Hall,Scary Movie 3 ,48000000.0,5.5
Donald Petrie,Wendy Raquel Robinson,106807667.0,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,45000000.0,6.2
Eric Brevig,Brendan Fraser,101702060.0,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,45000000.0,5.8
Garry Marshall,Raven-Symoné,95149435.0,Comedy|Family|Romance,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,40000000.0,5.7
Alan J. Pakula,Julia Roberts,100768056.0,Crime|Drama|Mystery|Thriller,Denzel Washington,The Pelican Brief ,45000000.0,6.5
Joel Schumacher,Anthony LaPaglia,92115211.0,Crime|Drama|Mystery|Thriller,Bradley Whitford,The Client ,45000000.0,6.7
Rob Reiner,Noel Gugliemi,93452056.0,Adventure|Comedy|Drama,Morgan Freeman,The Bucket List ,45000000.0,7.4
Phillip Noyce,Polly Walker,83287363.0,Action|Thriller,Harrison Ford,Patriot Games ,45000000.0,6.9
Robert Luketic,Jane Fonda,82931301.0,Comedy|Romance,Adam Scott,Monster-in-Law ,60000000.0,5.5
Denis Villeneuve,Jake Gyllenhaal,60962878.0,Crime|Drama|Mystery|Thriller,Hugh Jackman,Prisoners ,46000000.0,8.1
Antoine Fuqua,Snoop Dogg,76261036.0,Crime|Drama|Thriller,Denzel Washington,Training Day ,45000000.0,7.7
Dean Parisot,Enrico Colantoni,71423726.0,Adventure|Comedy|Sci-Fi,Alan Rickman,Galaxy Quest ,45000000.0,7.3
Keenen Ivory Wayans,Veronica Cartwright,71277420.0,Comedy,Natasha Lyonne,Scary Movie 2 ,45000000.0,5.2
James Bobin,Eric Jacobson,88625922.0,Adventure|Comedy|Family|Musical,Bill Cobbs,The Muppets ,45000000.0,7.1
Stephen Norrington,Traci Lords,70001065.0,Action|Horror,Sanaa Lathan,Blade ,45000000.0,7.1
Thomas Carter,Rick Gonzalez,67253092.0,Drama|Sport,Channing Tatum,Coach Carter ,30000000.0,7.2
Roger Michell,Matt Malloy,66790248.0,Drama|Thriller,Sydney Pollack,Changing Lanes ,45000000.0,6.5
Luis Llosa,Eric Stoltz,65557989.0,Action|Adventure|Horror|Thriller,Frank Welker,Anaconda ,45000000.0,4.6
David McNally,Tyra Banks,60786269.0,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly ,45000000.0,5.6
Richard Curtis,Liam Neeson,59365105.0,Comedy|Drama|Romance,Colin Firth,Love Actually ,45000000.0,7.7
John Lasseter,Madeline Kahn,162792677.0,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,A Bug's Life ,120000000.0,7.2
Albert Hughes,Jason Flemyng,31598308.0,Horror|Mystery|Thriller,Johnny Depp,From Hell ,35000000.0,6.8
Luis Llosa,Rod Steiger,57362581.0,Action|Crime|Drama|Romance|Thriller,Sylvester Stallone,The Specialist ,45000000.0,5.4
Ron Shelton,Cheech Marin,53854588.0,Comedy|Drama|Romance|Sport,Don Johnson,Tin Cup ,45000000.0,6.3
Melville Shavelson,Tom Bosley,,Comedy|Family,Lucille Ball,"Yours, Mine and Ours ",2500000.0,7.2
Jesse Dylan,Will Ferrell,52580895.0,Comedy|Family|Romance|Sport,Josh Hutcherson,Kicking & Screaming ,45000000.0,5.6
Garth Jennings,Kelly Macdonald,51019112.0,Adventure|Comedy|Sci-Fi,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,50000000.0,6.8
Joel Zwick,Nick Zano,48114556.0,Comedy|Family|Fantasy|Romance,Dania Ramirez,Fat Albert ,26000000.0,4.3
Russell Mulcahy,Mike Epps,50648679.0,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Extinction ,45000000.0,6.3
Frank Coraci,Adam Sandler,46280507.0,Comedy|Romance,Bella Thorne,Blended ,40000000.0,6.5
Wayne Wang,Alicia Witt,38360195.0,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,45000000.0,6.4
Curtis Hanson,Glenn Morshower,46815748.0,Action|Adventure|Crime|Thriller,Meryl Streep,The River Wild ,45000000.0,6.3
Frank Oz,Vincent Kartheiser,35617599.0,Drama|Family|Fantasy,Steve Coogan,The Indian in the Cupboard ,45000000.0,5.9
Oliver Stone,Shea Whigham,47307550.0,Crime|Drama|Thriller,Demián Bichir,Savages ,45000000.0,6.5
David R. Ellis,Valerie Cruz,32003620.0,Action|Crime|Thriller,Richard Burgi,Cellular ,25000000.0,6.5
Peter Howitt,Natalie Imbruglia,27972410.0,Action|Adventure|Comedy,Kevin McNally,Johnny English ,35000000.0,6.1
John A. Davis,Meryl Streep,28133159.0,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,50000000.0,5.9
David Lynch,Jürgen Prochnow,27400000.0,Action|Adventure|Sci-Fi,Virginia Madsen,Dune ,40000000.0,6.6
Julie Taymor,T.V. Carpio,24343673.0,Drama|Fantasy|Musical|Romance,Jim Sturgess,Across the Universe ,45000000.0,7.4
Sam Mendes,Kate Winslet,22877808.0,Drama|Romance,Leonardo DiCaprio,Revolutionary Road ,35000000.0,7.3
Richard Donner,David Zayas,36883539.0,Action|Crime|Drama|Thriller,Bruce Willis,16 Blocks ,52000000.0,6.6
Mathieu Kassovitz,Charlotte Rampling,22531698.0,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,Babylon A.D. ,70000000.0,5.6
John Gray,Bob Gunton,20400913.0,Action|Comedy|Crime|Drama|Thriller,Alexa PenaVega,The Glimmer Man ,45000000.0,5.3
Harold Ramis,Brian Doyle-Murray,20101861.0,Comedy|Romance|Sci-Fi,John de Lancie,Multiplicity ,45000000.0,6.0
John Schultz,Carter Jenkins,25200412.0,Adventure|Comedy|Family|Fantasy|Sci-Fi,Malese Jow,Aliens in the Attic ,45000000.0,5.4
Sean Penn,Adrien Dorval,19719930.0,Crime|Drama|Mystery|Thriller,Costas Mandylor,The Pledge ,45000000.0,6.8
Susan Stroman,Will Ferrell,19377727.0,Comedy|Musical,Jon Lovitz,The Producers ,45000000.0,6.4
Pete Travis,Jason Cope,13401683.0,Action|Sci-Fi,Wood Harris,Dredd ,35000000.0,7.1
Simon Wincer,Treat Williams,17300889.0,Action|Adventure|Comedy|Fantasy,Cary-Hiroyuki Tagawa,The Phantom ,45000000.0,4.9
Billy Bob Thornton,Henry Thomas,15527125.0,Drama|Romance|Western,Matt Damon,All the Pretty Horses ,57000000.0,5.8
Oliver Stone,Bob Hoskins,13560960.0,Biography|Drama|History,Anthony Hopkins,Nixon ,50000000.0,7.1
Roman Polanski,Olivia Williams,15523168.0,Mystery|Thriller,Jim Belushi,The Ghost Writer ,45000000.0,7.2
Stephen Sommers,Jason Flemyng,11146409.0,Action|Adventure|Horror|Sci-Fi,Djimon Hounsou,Deep Rising ,45000000.0,6.0
Spike Lee,Omari Hardwick,7916887.0,Action|Crime|Drama|Thriller|War,Joseph Gordon-Levitt,Miracle at St. Anna ,45000000.0,6.0
Yimou Zhang,Ye Liu,6565495.0,Drama|Romance,Li Gong,Curse of the Golden Flower ,45000000.0,7.0
Danny Pang,Charlie Yeung,15279680.0,Action|Crime|Thriller,Nicolas Cage,Bangkok Dangerous ,40000000.0,5.4
Barry Sonnenfeld,Janeane Garofalo,7262288.0,Comedy|Crime|Thriller,Zooey Deschanel,Big Trouble ,40000000.0,6.5
Mike Newell,Giovanna Mezzogiorno,4584886.0,Drama|Romance,Marcela Mar,Love in the Time of Cholera ,45000000.0,6.4
,Clotilde Hesme,,Drama|Fantasy|Horror|Mystery,Pierre Perrier,The Returned             ,,8.3
George P. Cosmatos,Ben Gazzara,2154540.0,Action|Thriller,Sam Waterston,Shadow Conspiracy ,45000000.0,4.9
Oliver Parker,Tim McInnerny,8129455.0,Action|Adventure|Comedy|Crime,Daniel Kaluuya,Johnny English Reborn ,45000000.0,6.3
Lawrence Kasanoff,Larry Miller,,Action|Animation|Comedy|Family|Fantasy,Jerry Stiller,Foodfight! ,65000000.0,1.7
Ben Affleck,Scoot McNairy,136019448.0,Biography|Drama|History|Thriller,Clea DuVall,Argo ,44500000.0,7.7
Andrew Davis,Daniel Roebuck,183875760.0,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,The Fugitive ,44000000.0,7.8
Andy Tennant,Dorian Missick,67061228.0,Action|Comedy|Romance,Gerard Butler,The Bounty Hunter ,40000000.0,5.5
Barry Levinson,Brad Pitt,53300852.0,Crime|Drama|Thriller,Robert De Niro,Sleepers ,44000000.0,7.5
George P. Cosmatos,Julia Nickson,150415432.0,Action|Adventure|Thriller|War,Sylvester Stallone,Rambo: First Blood Part II ,44000000.0,6.4
Brian Gibson,Demi Moore,44834712.0,Drama|Thriller,Joseph Gordon-Levitt,The Juror ,44000000.0,5.6
Norman Ferguson,Dickie Jones,84300000.0,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,2600000.0,7.5
Michael Cimino,Sam Waterston,1500000.0,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate ,44000000.0,6.8
Len Wiseman,Tony Curran,62318875.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,50000000.0,6.8
Paul McGuigan,Spencer Wilding,5773519.0,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Victor Frankenstein ,40000000.0,6.0
Gus Van Sant,Rob Brown,51768623.0,Drama,F. Murray Abraham,Finding Forrester ,43000000.0,7.3
Betty Thomas,Viggo Mortensen,37035515.0,Comedy|Drama,Steve Buscemi,28 Days ,43000000.0,6.0
Louis Leterrier,Jet Li,24520892.0,Action|Crime|Drama|Thriller,Morgan Freeman,Unleashed ,45000000.0,7.0
Roger Kumble,Lillian Adams,24430272.0,Comedy|Romance,Judith Chapman,The Sweetest Thing ,43000000.0,5.1
Sydney Pollack,Holly Hunter,158348400.0,Drama|Mystery|Thriller,Tom Cruise,The Firm ,42000000.0,6.8
Burr Steers,Charlie Tahan,31136950.0,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,44000000.0,6.5
Simon West,Tony Goldwyn,29113588.0,Action|Crime|Thriller,Jason Statham,The Mechanic ,40000000.0,6.6
Phil Lord,Dax Flame,138447667.0,Action|Comedy|Crime,Channing Tatum,21 Jump Street ,42000000.0,7.2
Roger Michell,Clarke Peters,116006080.0,Comedy|Drama|Romance,Julia Roberts,Notting Hill ,42000000.0,7.0
Peter Lord,Miranda Richardson,106793915.0,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Chicken Run ,45000000.0,7.0
John Hamburg,Masi Oka,87856565.0,Comedy|Romance,Philip Seymour Hoffman,Along Came Polly ,42000000.0,5.9
Reginald Hudlin,Eartha Kitt,70100000.0,Comedy|Drama|Romance,John Witherspoon,Boomerang ,40000000.0,5.4
Paul Feig,William Xifaras,159578352.0,Action|Comedy|Crime,Michael Rapaport,The Heat ,43000000.0,6.6
Joseph L. Mankiewicz,Richard Burton,57750000.0,Biography|Drama|History|Romance,Martin Landau,Cleopatra ,31115000.0,7.0
Frank Coraci,Reggie Lee,45290318.0,Action|Comedy|Sport,Salma Hayek,Here Comes the Boom ,42000000.0,6.5
Carl Franklin,Adam Scott,41543207.0,Crime|Drama|Mystery|Thriller,Morgan Freeman,High Crimes ,42000000.0,6.3
Barbra Streisand,Austin Pendleton,41252428.0,Comedy|Drama|Romance,Jeff Bridges,The Mirror Has Two Faces ,42000000.0,6.5
Mark Pellington,Will Patton,35228696.0,Drama|Horror|Mystery|Thriller,Debra Messing,The Mothman Prophecies ,32000000.0,6.5
Larry Charles,Elton John,59992760.0,Comedy,Bono,Brüno ,42000000.0,5.8
John Glen,Talisa Soto,34667015.0,Action|Adventure|Thriller,Robert Davi,Licence to Kill ,32000000.0,6.6
Catherine Hardwicke,Billy Burke,37652565.0,Fantasy|Horror|Mystery|Thriller,Gary Oldman,Red Riding Hood ,42000000.0,5.4
John Herzfeld,Charlize Theron,24375436.0,Action|Crime|Drama|Thriller,Robert De Niro,15 Minutes ,42000000.0,6.1
Annabel Jankel,Fisher Stevens,20915465.0,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,Super Mario Bros. ,42000000.0,4.0
Andrew Niccol,Jeremy Crutchley,24127895.0,Crime|Drama|Thriller,Nicolas Cage,Lord of War ,50000000.0,7.6
Yimou Zhang,Tony Chiu Wai Leung,84961.0,Action|Adventure|History,Jet Li,Hero ,31000000.0,7.9
Julie Anne Robinson,Debbie Reynolds,26404753.0,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,One for the Money ,40000000.0,5.3
Evan Goldberg,Randall Park,6105175.0,Comedy,James Franco,The Interview ,44000000.0,6.6
Sngmoo Lee,Dong-gun Jang,5664251.0,Action|Fantasy|Western,Tony Cox,The Warrior's Way ,45000000.0,6.3
,Gavin MacLeod,,Comedy|War,Tim Conway,McHale's Navy             ,,7.5
Jean-Pierre Jeunet,Dany Boon,1260917.0,Action|Comedy|Crime,Omar Sy,Micmacs ,27000000.0,7.2
Curtis Hanson,Omar Benson Miller,116724075.0,Drama|Music,Mekhi Phifer,8 Mile ,41000000.0,7.0
Jamel Debbouze,Youssef Hajdi,,Adventure|Animation|Comedy|Family,Jamel Debbouze,Animal Kingdom: Let's go Ape ,,4.9
Brian Helgeland,Rufus Sewell,56083966.0,Action|Adventure|Romance,Heath Ledger,A Knight's Tale ,65000000.0,6.9
Gordon Chan,Lee Evans,22108977.0,Action|Comedy|Fantasy,Julian Sands,The Medallion ,41000000.0,5.2
M. Night Shyamalan,Haley Joel Osment,293501675.0,Drama|Mystery|Thriller,Bruce Willis,The Sixth Sense ,40000000.0,8.1
Asger Leth,Mandy Gonzalez,18600911.0,Action|Crime|Thriller,Robert Clohessy,Man on a Ledge ,42000000.0,6.6
David Frankel,Kevin Pollak,7204138.0,Comedy,Joel McHale,The Big Year ,41000000.0,6.2
John G. Avildsen,William Zabka,90800000.0,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,8000000.0,7.2
David O. Russell,Christian Bale,150117807.0,Crime|Drama,Jennifer Lawrence,American Hustle ,40000000.0,7.3
Anne Fletcher,Denis O'Hare,163947053.0,Comedy|Drama|Romance,Ryan Reynolds,The Proposal ,40000000.0,6.7
Bruce Beresford,Annabeth Gish,116735231.0,Crime|Mystery|Thriller,Bruce Greenwood,Double Jeopardy ,70000000.0,6.4
Robert Zemeckis,Jeffrey Weissman,118500000.0,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future Part II ,40000000.0,7.8
Luc Besson,Morgan Freeman,126546825.0,Action|Sci-Fi|Thriller,Scarlett Johansson,Lucy ,40000000.0,6.4
Sam Taylor-Johnson,Luke Grimes,166147885.0,Drama|Romance,Jennifer Ehle,Fifty Shades of Grey ,40000000.0,4.1
Robert Rodriguez,Salma Hayek,111760631.0,Action|Adventure|Comedy|Family|Sci-Fi,Sylvester Stallone,Spy Kids 3-D: Game Over ,38000000.0,4.1
Joel Schumacher,Matthew McConaughey,108706165.0,Crime|Drama|Thriller,Kevin Spacey,A Time to Kill ,40000000.0,7.4
Shawn Levy,Alyson Stoner,138614544.0,Comedy|Family,Tom Welling,Cheaper by the Dozen ,40000000.0,5.8
Peter Berg,Scott Elrod,125069696.0,Action|Biography|Drama|Thriller|War,Jerry Ferrara,Lone Survivor ,40000000.0,7.6
Penny Marshall,Lori Petty,107458785.0,Comedy|Drama|Sport,Tom Hanks,A League of Their Own ,40000000.0,7.2
James Wan,Frances O'Connor,102310175.0,Horror|Mystery|Thriller,Javier Botet,The Conjuring 2 ,40000000.0,7.8
David Fincher,Dustin Fitzsimons,96917897.0,Biography|Drama,Andrew Garfield,The Social Network ,40000000.0,7.7
Ken Kwapis,Sabrina Revelle,93952276.0,Comedy|Drama|Romance,Carmen Perez,He's Just Not That Into You ,40000000.0,6.4
David Zucker,Carmen Electra,90703745.0,Comedy,Beau Mirchoff,Scary Movie 4 ,45000000.0,5.1
Wes Craven,Roger Jackson,89138076.0,Horror|Mystery,Kelly Rutherford,Scream 3 ,40000000.0,5.5
Robert Zemeckis,Jeffrey Weissman,87666629.0,Adventure|Comedy|Sci-Fi|Western,Lea Thompson,Back to the Future Part III ,40000000.0,7.4
Etan Cohen,Alison Brie,90353764.0,Comedy|Crime,Will Ferrell,Get Hard ,40000000.0,6.0
Francis Ford Coppola,Anthony Hopkins,82522790.0,Fantasy|Horror|Romance,Keanu Reeves,Bram Stoker's Dracula ,40000000.0,7.5
Nora Ephron,Mary Lynn Rajskub,94125426.0,Biography|Drama|Romance,Meryl Streep,Julie & Julia ,40000000.0,7.0
Brian Helgeland,Christopher Meloni,95001343.0,Biography|Drama|Sport,Harrison Ford,42 ,40000000.0,7.5
Anthony Minghella,Matt Damon,81292135.0,Crime|Drama|Thriller,Philip Seymour Hoffman,The Talented Mr. Ripley ,40000000.0,7.3
Bobby Farrelly,Kathleen Turner,86208010.0,Comedy,Bill Murray,Dumb and Dumber To ,35000000.0,5.7
Frank Marshall,Bruce Greenwood,81593527.0,Adventure|Drama|Family,Paul Walker,Eight Below ,40000000.0,7.3
Nancy Meyers,Anne Hathaway,75274748.0,Comedy|Drama,Robert De Niro,The Intern ,35000000.0,7.2
Tim Story,Nadine Velazquez,90835030.0,Action|Comedy,Olivia Munn,Ride Along 2 ,40000000.0,5.9
Michael Mann,Terry Kinney,72455275.0,Action|Adventure|Drama|Romance|War,Wes Studi,The Last of the Mohicans ,40000000.0,7.8
Taylor Hackford,Curtis Armstrong,75305995.0,Biography|Drama|Music,Bokeem Woodbine,Ray ,40000000.0,7.7
Frank Miller,Powers Boothe,74098862.0,Crime|Thriller,Rosario Dawson,Sin City ,40000000.0,8.1
Pete Travis,Edgar Ramírez,72266306.0,Crime|Drama|Mystery|Thriller,Dennis Quaid,Vantage Point ,40000000.0,6.6
John Hamburg,Jon Favreau,71347010.0,Comedy|Romance,J.K. Simmons,"I Love You, Man ",40000000.0,7.1
Bobby Farrelly,Bruce McGill,70836296.0,Comedy|Drama|Fantasy|Romance,Jason Alexander,Shallow Hal ,40000000.0,5.9
Oliver Stone,Jay O. Sanders,70405498.0,Drama|History|Thriller,Sally Kirkland,JFK ,40000000.0,8.0
John Whitesell,Nia Long,70163652.0,Comedy|Crime,Chloë Grace Moretz,Big Momma's House 2 ,40000000.0,4.6
Gore Verbinski,Brad Pitt,66808615.0,Adventure|Comedy|Crime|Romance,J.K. Simmons,The Mexican ,34000000.0,6.1
Angelina Jolie Pitt,Jack O'Connell,115603980.0,Biography|Drama|Sport|War,Finn Wittrock,Unbroken ,65000000.0,7.2
Burr Steers,Hunter Parrish,64149837.0,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,17 Again ,20000000.0,6.4
Nick Cassavetes,Kate Upton,83906114.0,Comedy|Romance,Don Johnson,The Other Woman ,40000000.0,6.0
David R. Ellis,Andrew Fiscella,66466372.0,Horror,Krista Allen,The Final Destination ,40000000.0,5.2
Steven Spielberg,Mark Rylance,72306065.0,Drama|History|Thriller,Tom Hanks,Bridge of Spies ,40000000.0,7.6
John Moore,David Keith,59068786.0,Action|Drama|Thriller|War,Joaquim de Almeida,Behind Enemy Lines ,40000000.0,6.4
Nicholas Stoller,Mario Lopez,60923325.0,Comedy|Music,Pink,Get Him to the Greek ,,6.4
Peter Chelsom,Nick Cannon,57887882.0,Comedy|Drama|Romance,Lisa Ann Walter,Shall We Dance ,50000000.0,6.1
Joe Dante,Denis Leary,53955614.0,Action|Adventure|Comedy|Family|Sci-Fi,Kirsten Dunst,Small Soldiers ,40000000.0,6.1
Mark A.Z. Dippé,Frank Welker,54967359.0,Action|Horror,Michael Jai White,Spawn ,40000000.0,5.2
Kevin Reynolds,James Frain,54228104.0,Action|Adventure|Drama|Romance|Thriller,Henry Cavill,The Count of Monte Cristo ,35000000.0,7.7
Brad Furman,Margarita Levieva,57981889.0,Crime|Drama|Thriller,Matthew McConaughey,The Lincoln Lawyer ,40000000.0,7.3
Jaume Collet-Serra,Frank Langella,61094903.0,Action|Mystery|Thriller,Liam Neeson,Unknown ,30000000.0,6.9
Christopher Nolan,Hugh Jackman,53082743.0,Drama|Mystery|Sci-Fi|Thriller,Christian Bale,The Prestige ,40000000.0,8.5
Sean Anders,Christoph Waltz,54414716.0,Comedy|Crime,Kevin Spacey,Horrible Bosses 2 ,42000000.0,6.3
Cal Brunker,Paul Scheer,57011847.0,Adventure|Animation|Comedy|Family|Sci-Fi,Brendan Fraser,Escape from Planet Earth ,40000000.0,5.9
Mel Gibson,Dalia Hernández,50859889.0,Action|Adventure|Drama|Thriller,Rudy Youngblood,Apocalypto ,40000000.0,7.8
John Glen,Desmond Llewelyn,51185897.0,Action|Adventure|Thriller,Joe Don Baker,The Living Daylights ,30000000.0,6.7
Nimród Antal,Alice Braga,52000688.0,Action|Adventure|Sci-Fi|Thriller,Topher Grace,Predators ,40000000.0,6.4
Ivan Reitman,Debra Winger,49851591.0,Comedy|Crime|Romance,Brian Dennehy,Legal Eagles ,40000000.0,5.9
David Koepp,Charles S. Dutton,47781388.0,Mystery|Thriller,Johnny Depp,Secret Window ,40000000.0,6.6
Alejandro Agresti,Dylan Walsh,52320979.0,Drama|Fantasy|Romance,Keanu Reeves,The Lake House ,40000000.0,6.8
Iain Softley,Deneen Tyler,47806295.0,Horror|Mystery|Thriller,Gena Rowlands,The Skeleton Key ,43000000.0,6.5
Peter Hedges,Odeya Rush,51853450.0,Comedy|Drama|Family|Fantasy,Jennifer Garner,The Odd Life of Timothy Green ,25000000.0,6.6
Paul Weiland,Beau Garrett,46012734.0,Comedy|Romance,Busy Philipps,Made of Honor ,40000000.0,5.8
Clint Eastwood,Steve Schirripa,47034272.0,Biography|Drama|Music|Musical,Johnny Cannizzaro,Jersey Boys ,40000000.0,6.9
Francis Ford Coppola,Dean Stockwell,45856732.0,Crime|Drama|Thriller,Matt Damon,The Rainmaker ,40000000.0,7.1
Mathieu Kassovitz,Charles S. Dutton,59588068.0,Horror|Mystery|Thriller,Robert Downey Jr.,Gothika ,40000000.0,5.8
Steven Spielberg,Morgan Freeman,44175394.0,Drama|History,Anthony Hopkins,Amistad ,36000000.0,7.2
John McTiernan,José Wilker,45500797.0,Adventure|Drama|Romance,Lorraine Bracco,Medicine Man ,40000000.0,6.0
Colin Strause,Johnny Lewis,41797066.0,Action|Horror|Sci-Fi|Thriller,Sam Trammell,Aliens vs. Predator: Requiem ,40000000.0,4.7
Donald Petrie,John Larroquette,38087756.0,Comedy|Family,Macaulay Culkin,Ri¢hie Ri¢h ,40000000.0,5.2
Joan Chen,Sam Trammell,37752931.0,Drama|Romance,J.K. Simmons,Autumn in New York ,40000000.0,5.5
Marc Lawrence,Scott Porter,50562555.0,Comedy|Music|Romance,Brad Garrett,Music and Lyrics ,,6.5
Greg Mottola,Nelson Ascencio,37371385.0,Adventure|Comedy|Sci-Fi,Bobby Lee,Paul ,40000000.0,7.0
Anne Fletcher,Tom Virtue,37101011.0,Comedy|Drama,Miriam Margolyes,The Guilt Trip ,40000000.0,5.8
Wes Craven,Aimee Teegarden,38176892.0,Horror|Mystery,Alison Brie,Scream 4 ,40000000.0,6.2
Joel Schumacher,Chris Bauer,36283504.0,Mystery|Thriller,Nicolas Cage,8MM ,40000000.0,6.5
Oliver Stone,Kevin Dillon,35183792.0,Biography|Drama|Music|Musical,Michael Wincott,The Doors ,38000000.0,7.2
Jake Kasdan,Randall Park,38543473.0,Comedy,James Wilcox,Sex Tape ,40000000.0,5.1
Diane Keaton,Celia Weston,36037909.0,Comedy|Drama,Adam Arkin,Hanging Up ,60000000.0,4.7
Steven Quale,Jacqueline MacInnes Wood,42575718.0,Horror,Emma Bell,Final Destination 5 ,40000000.0,5.9
Kelly Makin,Burt Young,33864342.0,Comedy|Crime|Romance,Jeanne Tripplehorn,Mickey Blue Eyes ,40000000.0,5.8
Mimi Leder,Haley Joel Osment,33508922.0,Drama,Kevin Spacey,Pay It Forward ,40000000.0,7.2
Bobby Farrelly,KaDee Strickland,42071069.0,Comedy|Drama|Romance|Sport,Jimmy Fallon,Fever Pitch ,30000000.0,6.2
,Melissa Altro,,Animation|Comedy|Family,Bruce Dinsmore,Arthur             ,,7.4
Steven Brill,Shaun Weiss,32853640.0,Comedy|Drama,Lisa Ann Walter,Drillbit Taylor ,40000000.0,5.7
Seth MacFarlane,Charlize Theron,42615685.0,Comedy|Western,Liam Neeson,A Million Ways to Die in the West ,40000000.0,6.1
Russell Mulcahy,Peter Boyle,32055248.0,Action|Adventure|Crime|Fantasy|Mystery|Thriller,Jonathan Winters,The Shadow ,25000000.0,6.0
Stephen Daldry,Thomas Horn,31836745.0,Adventure|Drama|Mystery,Tom Hanks,Extremely Loud & Incredibly Close ,40000000.0,6.9
Roger Michell,Patti D'Arbanville,30993544.0,Comedy|Drama|Romance,Noah Bean,Morning Glory ,40000000.0,6.5
Jim Sheridan,Bill Duke,30981850.0,Biography|Crime|Drama|Music,50 Cent,Get Rich or Die Tryin' ,40000000.0,5.0
Christian Duguay,Cary-Hiroyuki Tagawa,30199105.0,Action|Adventure|Crime|Thriller,Michael Biehn,The Art of War ,40000000.0,5.7
Chris Columbus,David Fine,29077547.0,Drama|Musical|Romance,Rosario Dawson,Rent ,40000000.0,7.0
Chuck Russell,Jimmy Smits,29374178.0,Crime|Drama|Horror|Thriller,Rufus Sewell,Bless the Child ,40000000.0,5.1
