title,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre,Movie_Title,Director,Actors,Total_Gross,main_genre
How to Train Your Dragon,165000000,217581232,494870992,43732319.0,Adventure,How to Train Your Dragon,"Directors:Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson",$217.58M,Animation
Wreck-It Ralph,165000000,189412677,496511521,49038712.0,Adventure,Wreck-It Ralph,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",$189.42M,Animation
Interstellar,165000000,188017894,649133873,47510360.0,Adventure,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",$188.02M,Adventure
Dune,165000000,108327830,397720527,41011174.0,Action,Dune,David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino",$30.93M,Action
Independence Day: Resurgence,165000000,103144286,384169424,41039944.0,Action,Independence Day: Resurgence,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe",$103.14M,Action
Beauty and the Beast,160000000,504014165,1270042058,174750616.0,Musical,Beauty and the Beast,"Directors:Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",$218.97M,Animation
Aquaman,160000000,335061807,1143758700,67873522.0,Action,Aquaman,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",$335.06M,Action
Shrek the Third,160000000,322719944,807330936,121629270.0,Adventure,Shrek the Third,"Directors:Chris Miller, Raman Hui","Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",$320.71M,Animation
Inception,160000000,292576195,728582465,62785337.0,Thriller/Suspense,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",$292.58M,Action
The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,102665981.0,Thriller/Suspense,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",$281.72M,Action
Godzilla,160000000,200676069,529076069,93188384.0,Action,Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",$200.68M,Action
Godzilla,160000000,200676069,529076069,93188384.0,Action,Godzilla,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",$136.31M,Action
Godzilla,125000000,136314294,376000000,93188384.0,Action,Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",$200.68M,Action
Godzilla,125000000,136314294,376000000,93188384.0,Action,Godzilla,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",$136.31M,Action
The Curious Case of Benjamin Button,160000000,127509326,329631958,26853816.0,Drama,The Curious Case of Benjamin Button,David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",$127.51M,Drama
The Sorcerer's Apprentice,160000000,63150991,217986320,17619622.0,Adventure,The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer",$63.15M,Action
Poseidon,160000000,60674817,181674817,22155410.0,Adventure,Poseidon,Wolfgang Petersen,"Richard Dreyfuss, Kurt Russell, Emmy Rossum, Josh Lucas",$60.67M,Action
Warcraft,160000000,47365290,438899824,24166110.0,Action,Warcraft,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",$47.37M,Action
The Irishman,159000000,0,910234,,Drama,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",$7.00M,Biography
Deepwater Horizon,156000000,61433527,122359309,20223544.0,Thriller/Suspense,Deepwater Horizon,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",$61.43M,Action
Godzilla vs. Kong,155000000,100916094,468064628,32200000.0,Action,Godzilla vs. Kong,Adam Wingard,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry",$100.92M,Action
Pacific Rim: Uprising,155000000,59874525,290930148,28116535.0,Action,Pacific Rim: Uprising,Steven S. DeKnight,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman",$59.87M,Action
Alexander,155000000,34297191,167297191,13687087.0,Action,Alexander,Oliver Stone,"Colin Farrell, Anthony Hopkins, Rosario Dawson, Angelina Jolie",$34.30M,Action
War for the Planet of the Apes,152000000,146880162,489592267,56262929.0,Action,War for the Planet of the Apes,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",$146.88M,Action
Pearl Harbor,151500000,198539855,449239853,59078912.0,Action,Pearl Harbor,Michael Bay,"Ben Affleck, Kate Beckinsale, Josh Hartnett, William Lee Scott",$198.54M,Action
Transformers,151000000,319246193,708272592,70502384.0,Action,Transformers,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",$319.25M,Action
Frozen II,150000000,477373578,1445182280,130263358.0,Adventure,Frozen II,"Directors:Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff",$477.37M,Animation
Wonder Woman,150000000,412563408,818058221,103251471.0,Action,Wonder Woman,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis",$412.56M,Action
Frozen,150000000,400953009,1261788407,243390.0,Musical,Frozen,"Directors:Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",$400.74M,Animation
Frozen,150000000,400953009,1261788407,243390.0,Musical,Frozen,Adam Green,"Shawn Ashmore, Emma Bell, Kevin Zegers, Ed Ackerman",$0.24M,Adventure
Zootopia,150000000,341268248,1004629935,75063401.0,Adventure,Zootopia,"Directors:Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",$341.27M,Animation
Harry Potter and the Order of the Phoenix,150000000,292137260,939619849,77108414.0,Adventure,Harry Potter and the Order of the Phoenix,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",$292.00M,Action
Harry Potter and the Goblet of Fire,150000000,290201752,886746240,102685961.0,Adventure,Harry Potter and the Goblet of Fire,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes",$290.01M,Adventure
The Matrix Reloaded,150000000,281553689,738576929,91774413.0,Action,The Matrix Reloaded,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",$281.49M,Action
Moana,150000000,248757044,631617146,56631401.0,Musical,Moana,"Directors:Ron Clements, John Musker, Don Hall, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",$248.76M,Animation
Hancock,150000000,227946274,624234272,62603879.0,Action,Hancock,Peter Berg,"Will Smith, Charlize Theron, Jason Bateman, Jae Head",$227.95M,Action
Shang-Chi and the Legend of the Ten Rings,150000000,224543292,432243292,75388688.0,Action,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Chiu-Wai Leung, Ben Kingsley",$224.54M,Action
Charlie and the Chocolate Factory,150000000,206459076,475825484,56178450.0,Adventure,Charlie and the Chocolate Factory,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",$206.46M,Adventure
Ratatouille,150000000,206445654,626549695,47027395.0,Adventure,Ratatouille,"Directors:Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm",$206.45M,Animation
Thor: The Dark World,150000000,206362140,644602516,85737841.0,Action,Thor: The Dark World,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård",$206.36M,Action
Batman Begins,150000000,205343774,358858124,48745440.0,Action,Batman Begins,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",$206.85M,Action
Dunkirk,150000000,190068280,518058826,50513488.0,Action,Dunkirk,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy",$188.37M,Action
Thor,150000000,181030624,449326618,65723338.0,Action,Thor,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",$181.03M,Action
Madagascar: Escape 2 Africa,150000000,180174880,599680774,63106589.0,Adventure,Madagascar: Escape 2 Africa,"Directors:Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",$180.01M,Animation
X-Men Origins: Wolverine,150000000,179883157,374825760,85058003.0,Action,X-Men Origins: Wolverine,Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",$179.88M,Action
Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063,54173286.0,Adventure,Night at the Museum: Battle of the Smithsonian,Shawn Levy,"Ben Stiller, Owen Wilson, Amy Adams, Hank Azaria",$177.24M,Adventure
Kung Fu Panda 2,150000000,165249063,664837547,47656302.0,Adventure,Kung Fu Panda 2,Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman",$165.25M,Animation
Mad Max: Fury Road,150000000,153636354,367457874,45428128.0,Action,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",$154.06M,Action
Pokémon: Detective Pikachu,150000000,144105346,431344168,54365242.0,Adventure,Pokémon: Detective Pikachu,Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy",$144.11M,Action
The Matrix Revolutions,150000000,139270910,427300260,48475154.0,Action,The Matrix Revolutions,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",$139.31M,Action
Ready Player One,150000000,137690172,579055653,41769050.0,Adventure,Ready Player One,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",$137.69M,Action
Chicken Little,150000000,135386665,310043823,40049778.0,Adventure,Chicken Little,Mark Dindal,"Zach Braff, Joan Cusack, Garry Marshall, Don Knotts",$135.39M,Animation
Mission: Impossible III,150000000,133501348,399387745,47743273.0,Action,Mission: Impossible III,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",$134.03M,Action
Angels & Demons,150000000,133375846,490875846,46204168.0,Thriller/Suspense,Angels & Demons,Ron Howard,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård",$133.38M,Action
Troy,150000000,133298577,483152040,46865412.0,Action,Troy,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover",$133.38M,Drama
Bee Movie,150000000,126631277,287594577,38021044.0,Adventure,Bee Movie,"Directors:Simon J. Smith, Steve Hickner","Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton",$126.63M,Animation
G-Force,150000000,119436770,292817841,31706934.0,Adventure,G-Force,Hoyt Yeatman,"Will Arnett, Penélope Cruz, Zach Galifianakis, Bill Nighy",$119.44M,Animation
Bolt,150000000,114053579,328015029,26223128.0,Adventure,Bolt,"Directors:Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman, Mark Walton",$114.05M,Animation
Encanto,150000000,96093622,230873149,27206494.0,Adventure,Encanto,"Directors:Jared Bush, Byron Howard, Charise Castro Smith","Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo",$96.09M,Animation
Wrath of the Titans,150000000,83670083,305270083,33457188.0,Adventure,Wrath of the Titans,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes",$83.67M,Action
Beowulf,150000000,82280579,195080579,27515871.0,Adventure,Beowulf,Robert Zemeckis,"Ray Winstone, Crispin Glover, Angelina Jolie, Robin Wright",$82.16M,Animation
Dark Shadows,150000000,79727149,238202668,29685274.0,Black Comedy,Dark Shadows,Tim Burton,"Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter",$79.73M,Comedy
White House Down,150000000,73103784,205440387,24852258.0,Thriller/Suspense,White House Down,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke",$73.10M,Action
Space Jam: A New Legacy,150000000,70592228,144003749,31053362.0,Comedy,Space Jam: A New Legacy,Malcolm D. Lee,"LeBron James, Don Cheadle, Cedric Joe, Khris Davis",Gross Unkown,Animation
The Wolfman,150000000,62189884,142634358,31479235.0,Horror,The Wolfman,Joe Johnston,"Benicio Del Toro, Anthony Hopkins, Emily Blunt, Simon Merrells",$61.98M,Drama
The Great Wall,150000000,45157105,334486852,18469620.0,Action,The Great Wall,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",$45.54M,Action
Pan,150000000,35088320,151525973,15315435.0,Adventure,Pan,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",$35.09M,Action
Red Notice,150000000,0,173638,,Action,Red Notice,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya",Gross Unkown,Action
6 Underground,150000000,0,0,,Action,6 Underground,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy",Gross Unkown,Action
Flushed Away,149000000,64665672,179357126,18814323.0,Adventure,Flushed Away,"Directors:David Bowers, Sam Fell","Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",$64.67M,Animation
Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,60316738.0,Adventure,Madagascar 3: Europe's Most Wanted,"Directors:Eric Darnell, Tom McGrath, Conrad Vernon","Ben Stiller, Jada Pinkett Smith, Chris Rock, David Schwimmer",$216.39M,Animation
How to Train Your Dragon 2,145000000,177002924,614586270,49451322.0,Adventure,How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",$177.00M,Animation
Tarzan,145000000,171091819,448191819,34221968.0,Adventure,Tarzan,"Directors:Chris Buck, Kevin Lima","Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close",$171.09M,Animation
Mr. Peabody & Sherman,145000000,111506430,269806430,32207057.0,Adventure,Mr. Peabody & Sherman,Rob Minkoff,"Ty Burrell, Max Charles, Stephen Colbert, Leslie Mann",$111.51M,Animation
Rise of the Guardians,145000000,103412758,306900902,23773465.0,Adventure,Rise of the Guardians,Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine",$103.41M,Animation
Sahara,145000000,68671925,121645390,18068372.0,Adventure,Sahara,Breck Eisner,"Matthew McConaughey, Penélope Cruz, Steve Zahn, Mark Aspinall",$68.67M,Action
Ghostbusters,144000000,128350574,229008658,46018755.0,Comedy,Ghostbusters,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",$238.63M,Action
Ghostbusters,144000000,128350574,229008658,46018755.0,Comedy,Ghostbusters,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",$128.34M,Action
Die Another Day,142000000,160942139,431942139,47072040.0,Action,Die Another Day,Lee Tamahori,"Pierce Brosnan, Halle Berry, Rosamund Pike, Toby Stephens",$160.94M,Action
Star Trek,140000000,257730019,386839614,79204289.0,Adventure,Star Trek,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",$257.73M,Action
Armageddon,140000000,201578182,554600000,36089972.0,Adventure,Armageddon,Michael Bay,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler",$201.57M,Action
Captain America: The First Avenger,140000000,176654505,370569776,65058524.0,Action,Captain America: The First Avenger,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell",$176.65M,Action
Kung Fu Panda 3,140000000,143528619,521170825,41282042.0,Adventure,Kung Fu Panda 3,"Directors:Alessandro Carloni, Jennifer Yuh Nelson","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",$143.53M,Animation
Lethal Weapon 4,140000000,130444603,285400000,34048124.0,Action,Lethal Weapon 4,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo",$130.44M,Action
G.I. Joe: Retaliation,140000000,122523060,375740705,40501814.0,Action,G.I. Joe: Retaliation,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki, Lee Byung-hun",$122.52M,Action
The Last Samurai,140000000,111110575,456810575,24271354.0,Action,The Last Samurai,Edward Zwick,"Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton",$111.11M,Action
Exodus: Gods and Kings,140000000,65014513,268314513,24115934.0,Drama,Exodus: Gods and Kings,Ridley Scott,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",$65.01M,Action
Gemini Man,140000000,48546770,166623705,20552372.0,Action,Gemini Man,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",$48.55M,Action
Gods of Egypt,140000000,31153464,138836756,14123903.0,Adventure,Gods of Egypt,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",$31.15M,Action
Spider-Man,139000000,403706375,821706375,114844116.0,Adventure,Spider-Man,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",$403.71M,Action
Watchmen,138000000,107509799,186976250,55214334.0,Action,Watchmen,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman",$107.51M,Action
The Incredible Hulk,137500000,134806913,265573859,55414050.0,Adventure,The Incredible Hulk,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",$134.52M,Action
Hulk,137000000,132177234,245031679,62128420.0,Action,Hulk,Ang Lee,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",$132.18M,Action
Final Fantasy: The Spirits Within,137000000,32131830,85131830,11408853.0,Adventure,Final Fantasy: The Spirits Within,"Directors:Hironobu Sakaguchi, Motonori Sakakibara","Alec Baldwin, Steve Buscemi, Ming-Na Wen, Ving Rhames",$32.13M,Animation
The Croods,135000000,187168425,573068425,43639736.0,Adventure,The Croods,"Directors:Kirk DeMicco, Chris Sanders","Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener",$187.17M,Animation
The Revenant,135000000,183637894,532938302,474560.0,Adventure,The Revenant,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",$183.64M,Action
Rango,135000000,123477607,245724600,38079323.0,Adventure,Rango,Gore Verbinski,"Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin",$123.48M,Animation
Master and Commander: The Far Side of the World,135000000,93926386,212912137,25105990.0,Adventure,Master and Commander: The Far Side of the World,Peter Weir,"Russell Crowe, Paul Bettany, Billy Boyd, James D'Arcy",$93.93M,Action
Turbo,135000000,83028130,286896578,21312625.0,Adventure,Turbo,David Soren,"Ryan Reynolds, Paul Giamatti, Maya Rudolph, Samuel L. Jackson",$83.03M,Animation
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,35316382.0,Adventure,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",$82.05M,Action
Happy Feet Two,135000000,64006466,157956466,21237068.0,Adventure,Happy Feet Two,"Directors:George Miller, Gary Eck, David Peers","Elijah Wood, Robin Williams, Pink, Carlos Alazraqui",$64.01M,Animation
Miami Vice,135000000,63478838,164920076,25723815.0,Action,Miami Vice,Michael Mann,"Colin Farrell, Jamie Foxx, Gong Li, Naomie Harris",$63.45M,Action
War of the Worlds,132000000,234280354,606836535,64878725.0,Action,War of the Worlds,Steven Spielberg,"Tom Cruise, Dakota Fanning, Tim Robbins, Miranda Otto",$234.28M,Action
Penguins of Madagascar,132000000,83350911,366942531,25447444.0,Adventure,Penguins of Madagascar,"Directors:Eric Darnell, Simon J. Smith","Tom McGrath, Chris Miller, Christopher Knights, Conrad Vernon",$83.35M,Animation
The Hunger Games: Catching Fire,130000000,424668047,864868047,158074286.0,Adventure,The Hunger Games: Catching Fire,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",$424.67M,Action
Harry Potter and the Prisoner of Azkaban,130000000,249757726,789592708,93687367.0,Adventure,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths",$249.36M,Adventure
The Bourne Ultimatum,130000000,227471070,444043396,69283690.0,Thriller/Suspense,The Bourne Ultimatum,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",$227.47M,Action
Ant-Man and the Wasp,130000000,216648740,623144660,75812205.0,Action,Ant-Man and the Wasp,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",$216.65M,Action
Kung Fu Panda,130000000,215434591,631910531,60239130.0,Adventure,Kung Fu Panda,"Directors:Mark Osborne, John Stevenson","Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman",$215.43M,Animation
Ant-Man,130000000,180202163,518858449,57225526.0,Action,Ant-Man,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",$180.20M,Action
Home,130000000,177397510,385997896,52107731.0,Adventure,Home,Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",$177.40M,Animation
Mary Poppins Returns,130000000,171958438,348901032,23523121.0,Musical,Mary Poppins Returns,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",$171.96M,Animation
Puss in Boots,130000000,149260504,554987477,34077439.0,Adventure,Puss in Boots,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",$149.26M,Animation
Megamind,130000000,148415853,321887208,46016833.0,Adventure,Megamind,Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",$148.42M,Animation
Bad Boys II,130000000,138540870,273271982,46522560.0,Action,Bad Boys II,Michael Bay,"Will Smith, Martin Lawrence, Gabrielle Union, Jordi Mollà",$138.61M,Action
Rio 2,130000000,131538435,492846291,39327869.0,Adventure,Rio 2,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, Jemaine Clement, Andy Garcia",$131.54M,Animation
Salt,130000000,118311368,290650494,36011243.0,Thriller/Suspense,Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",$118.31M,Action
Noah,130000000,101200044,352831065,43720472.0,Drama,Noah,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",$101.20M,Action
The Adventures of Tintin,130000000,77591831,373993951,9720993.0,Adventure,The Adventures of Tintin,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg",$77.59M,Animation
Australia,130000000,49554002,215080810,14800723.0,Drama,Australia,Baz Luhrmann,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",$49.55M,Adventure
R.I.P.D.,130000000,33618855,79076678,12691415.0,Action,R.I.P.D.,Robert Schwentke,"Ryan Reynolds, Jeff Bridges, Mary-Louise Parker, Kevin Bacon",$33.62M,Action
How to Train Your Dragon: The Hidden World,129000000,160799505,521214533,55022245.0,Adventure,How to Train Your Dragon: The Hidden World,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett",$160.80M,Animation
Dinosaur,127500000,137748063,356148063,38854851.0,Adventure,Dinosaur,"Directors:Eric Leighton, Ralph Zondag","D.B. Sweeney, Julianna Margulies, Samuel E. Wright, Alfre Woodard",$137.75M,Animation
Logan,127000000,226277068,614202315,88411916.0,Action,Logan,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",$226.28M,Action
Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,17100520.0,Adventure,Night at the Museum: Secret of the Tomb,Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",$113.75M,Adventure
The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,121897634.0,Thriller/Suspense,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",$337.14M,Action
Jumanji: The Next Level,125000000,316831246,798332900,59251543.0,Adventure,Jumanji: The Next Level,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan",$316.83M,Action
The Da Vinci Code,125000000,217536138,767820459,77073388.0,Thriller/Suspense,The Da Vinci Code,Ron Howard,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",$217.54M,Mystery
Fast Five,125000000,210031325,630163454,86198765.0,Action,Fast Five,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",$209.84M,Action
Teenage Mutant Ninja Turtles,125000000,191204754,485004754,65575105.0,Adventure,Teenage Mutant Ninja Turtles,Steve Barron,"Judith Hoag, Elias Koteas, Josh Pais, David Forman",$135.27M,Action
Teenage Mutant Ninja Turtles,125000000,191204754,485004754,65575105.0,Adventure,Teenage Mutant Ninja Turtles,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher",$191.20M,Action
Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,39637079.0,Action,Sherlock Holmes: A Game of Shadows,Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",$186.85M,Action
The Day After Tomorrow,125000000,186740799,555840117,68743584.0,Adventure,The Day After Tomorrow,Roland Emmerich,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",$186.74M,Action
The Boss Baby,125000000,175003033,527965936,50198902.0,Adventure,The Boss Baby,Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",$175.00M,Animation
Clash of the Titans,125000000,163214888,493214888,61235105.0,Action,Clash of the Titans,Desmond Davis,"Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith",$41.09M,Action
Clash of the Titans,125000000,163214888,493214888,61235105.0,Action,Clash of the Titans,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",$163.21M,Action
Trolls,125000000,153707064,343242613,46581142.0,Adventure,Trolls,"Directors:Mike Mitchell, Walt Dohrn","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",$153.71M,Animation
Prometheus,125000000,126477084,402448265,51050101.0,Thriller/Suspense,Prometheus,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",$126.48M,Adventure
The Bourne Legacy,125000000,113203870,280355920,38142825.0,Thriller/Suspense,The Bourne Legacy,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",$113.20M,Action
Skyscraper,125000000,68420120,304868961,24905015.0,Action,Skyscraper,Rawson Marshall Thurber,"Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller",$68.42M,Action
The Call of the Wild,125000000,62342368,107360936,24791624.0,Adventure,The Call of the Wild,Chris Sanders,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens",$62.34M,Adventure
Total Recall,125000000,58877969,211856088,25577758.0,Action,Total Recall,Paul Verhoeven,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin",$119.39M,Action
Total Recall,125000000,58877969,211856088,25577758.0,Action,Total Recall,Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale",$58.88M,Action
