name,genre,score,director,actor_2_name,gross,actor_1_name,budget
Mrs. Winterbourne,Comedy,6.2,Richard Benjamin,Jane Krakowski,10070000.0,Brendan Fraser,25000000.0
The Glimmer Man,Action,5.4,John Gray,Bob Gunton,20400913.0,Alexa PenaVega,45000000.0
Up Close & Personal,Drama,6.2,Jon Avnet,Stockard Channing,51045801.0,Joe Mantegna,60000000.0
The Juror,Crime,5.7,Brian Gibson,Demi Moore,44834712.0,Joseph Gordon-Levitt,44000000.0
Flirting with Disaster,Comedy,6.7,David O. Russell,Mary Tyler Moore,14891000.0,Lily Tomlin,7000000.0
Ghosts of Mississippi,Drama,6.7,Rob Reiner,Virginia Madsen,13052741.0,Alexa PenaVega,36000000.0
Extreme Measures,Crime,6.2,Michael Apted,Paul Guilfoyle,17305211.0,J.K. Simmons,38000000.0
A Thin Line Between Love and Hate,Comedy,5.7,Martin Lawrence,Lynn Whitfield,34746109.0,Faizon Love,8000000.0
City Hall,Drama,6.2,Harold Becker,Martin Landau,20300000.0,Al Pacino,40000000.0
Mary Reilly,Drama,5.8,Stephen Frears,Bronagh Gallagher,5600000.0,Julia Roberts,47000000.0
My Fellow Americans,Adventure,6.5,Peter Segal,Bradley Whitford,22294341.0,Wilford Brimley,21500000.0
Sgt. Bilko,Comedy,5.8,Jonathan Lynn,Phil Hartman,30400000.0,Austin Pendleton,39000000.0
Girl 6,Comedy,5.2,Spike Lee,Debi Mazar,4903000.0,Michael Imperioli,12000000.0
The Funeral,Crime,6.6,Abel Ferrara,Vincent Gallo,1227324.0,Isabella Rossellini,12500000.0
Kansas City,Crime,6.3,Robert Altman,Jennifer Jason Leigh,1292527.0,Steve Buscemi,19000000.0
Fled,Action,5.4,Kevin Hooks,Stephen Baldwin,17100000.0,Salma Hayek,25000000.0
The Game,Drama,7.8,David Fincher,Armin Mueller-Stahl,48265581.0,Deborah Kara Unger,50000000.0
Boogie Nights,Drama,7.9,Paul Thomas Anderson,Nicole Ari Parker,26384919.0,Don Cheadle,15000000.0
Titanic,Drama,7.8,James Cameron,Kate Winslet,658672302.0,Leonardo DiCaprio,200000000.0
The Fifth Element,Action,7.7,Luc Besson,Bruce Willis,63540020.0,Milla Jovovich,93000000.0
Austin Powers: International Man of Mystery,Adventure,7.0,Jay Roach,Charles Napier,53868030.0,Will Ferrell,17000000.0
Good Will Hunting,Drama,8.3,Gus Van Sant,Matt Damon,138339411.0,Robin Williams,10000000.0
Starship Troopers,Action,7.2,Paul Verhoeven,Patrick Muldoon,54700065.0,Jake Busey,105000000.0
The Devil's Advocate,Drama,7.5,Taylor Hackford,Al Pacino,60984028.0,Keanu Reeves,57000000.0
Con Air,Action,6.9,Simon West,Monica Potter,101087161.0,Steve Buscemi,75000000.0
Jackie Brown,Crime,7.5,Quentin Tarantino,Sid Haig,39647595.0,Robert De Niro,12000000.0
L.A. Confidential,Crime,8.2,Curtis Hanson,Matt McCoy,64604977.0,Kevin Spacey,35000000.0
Contact,Drama,7.5,Robert Zemeckis,Tom Skerritt,100853835.0,Matthew McConaughey,90000000.0
Men in Black,Action,7.3,Barry Sonnenfeld,Rip Torn,250147615.0,Will Smith,90000000.0
Air Force One,Action,6.5,Wolfgang Petersen,Gary Oldman,172620724.0,Harrison Ford,85000000.0
Batman & Robin,Action,3.8,Joel Schumacher,Vivica A. Fox,107285004.0,Michael Gough,125000000.0
Event Horizon,Horror,6.7,Paul W.S. Anderson,Joely Richardson,26616590.0,Sean Pertwee,60000000.0
Dante's Peak,Action,6.0,Roger Donaldson,Grant Heslov,67155742.0,Jamie Renée Smith,116000000.0
The Lost World: Jurassic Park,Action,6.6,Steven Spielberg,Richard Schiff,229074524.0,Ariana Richards,73000000.0
Princess Mononoke,Animation,8.4,Hayao Miyazaki,Jada Pinkett Smith,2298191.0,Minnie Driver,2400000000.0
Scream 2,Horror,6.2,Wes Craven,Jada Pinkett Smith,101334374.0,Omar Epps,24000000.0
Face/Off,Action,7.2,John Woo,CCH Pounder,112225777.0,Nicolas Cage,80000000.0
As Good as It Gets,Comedy,7.7,James L. Brooks,Yeardley Smith,147637474.0,Lupe Ontiveros,50000000.0
Gattaca,Drama,7.8,Andrew Niccol,Xander Berkeley,12339633.0,Blair Underwood,36000000.0
The Rainmaker,Crime,7.2,Francis Ford Coppola,Dean Stockwell,45856732.0,Matt Damon,40000000.0
I Know What You Did Last Summer,Horror,5.7,Jim Gillespie,Sarah Michelle Gellar,72219395.0,Muse Watson,17000000.0
Alien: Resurrection,Action,6.2,Jean-Pierre Jeunet,Michael Wincott,47748610.0,Gary Dourdan,75000000.0
Cube,Drama,7.2,Vincenzo Natali,Julian Richings,489220.0,David Hewlett,365000.0
Liar Liar,Comedy,6.9,Tom Shadyac,Swoosie Kurtz,181395380.0,Maura Tierney,45000000.0
Donnie Brasco,Biography,7.7,Mike Newell,Al Pacino,41954997.0,Johnny Depp,35000000.0
George of the Jungle,Action,5.5,Sam Weisman,Abraham Benrubi,105263257.0,Brendan Fraser,55000000.0
Anastasia,Animation,7.2,Don Bluth,Kelsey Grammer,58297830.0,Kirsten Dunst,50000000.0
Midnight in the Garden of Good and Evil,Crime,6.6,Clint Eastwood,Bob Gunton,25078937.0,Kevin Spacey,30000000.0
My Best Friend's Wedding,Comedy,6.3,P.J. Hogan,Christopher Masterson,126805112.0,Julia Roberts,46000000.0
Anaconda,Action,4.8,Luis Llosa,Eric Stoltz,65557989.0,Frank Welker,45000000.0
Tomorrow Never Dies,Action,6.5,Roger Spottiswoode,Colin Salmon,125332007.0,Vincent Schiavelli,110000000.0
Speed 2: Cruise Control,Action,3.9,Jan de Bont,Temuera Morrison,48068396.0,Jason Patric,160000000.0
The Saint,Action,6.2,Phillip Noyce,Michael Byrne,61355436.0,Alun Armstrong,68000000.0
The Full Monty,Comedy,7.2,Peter Cattaneo,Mark Addy,45857453.0,Tom Wilkinson,3500000.0
Spawn,Action,5.2,Mark A.Z. Dippé,Frank Welker,54967359.0,Michael Jai White,40000000.0
Seven Years in Tibet,Adventure,7.1,Jean-Jacques Annaud,Mako,37901509.0,Brad Pitt,70000000.0
Cop Land,Crime,6.9,James Mangold,Sylvester Stallone,44886089.0,Robert De Niro,10000000.0
In & Out,Comedy,6.4,Frank Oz,Wilford Brimley,63826569.0,Tom Selleck,35000000.0
Chasing Amy,Comedy,7.2,Kevin Smith,Ethan Suplee,12006514.0,Matt Damon,250000.0
Conspiracy Theory,Action,6.7,Richard Donner,Alex McArthur,76081498.0,Julia Roberts,75000000.0
Breakdown,Crime,6.9,Jonathan Mostow,M.C. Gainey,50129186.0,Kathleen Quinlan,36000000.0
G.I. Jane,Action,6.0,Ridley Scott,Demi Moore,48154732.0,Viggo Mortensen,50000000.0
The Jackal,Action,6.4,Michael Caton-Jones,Bruce Willis,54910560.0,J.K. Simmons,60000000.0
Kiss the Girls,Crime,6.6,Gary Fleder,Tony Goldwyn,60491560.0,Morgan Freeman,27000000.0
The Devil's Own,Action,6.2,Alan J. Pakula,Brad Pitt,42877165.0,Harrison Ford,86000000.0
Amistad,Biography,7.3,Steven Spielberg,Morgan Freeman,44175394.0,Anthony Hopkins,36000000.0
Grosse Pointe Blank,Action,7.3,George Armitage,Michael Cudlitz,28014536.0,Minnie Driver,15000000.0
Mortal Kombat: Annihilation,Action,3.7,John R. Leonetti,Talisa Soto,35927406.0,Brian Thompson,30000000.0
Spice World,Comedy,3.5,Bob Spiers,Richard Briers,29247405.0,Jason Flemyng,25000000.0
Selena,Biography,6.8,Gregory Nava,Constance Marie,35422828.0,Jon Seda,20000000.0
The Borrowers,Adventure,5.9,Peter Hewitt,Bradley Pierce,22359293.0,Jim Broadbent,29000000.0
The Peacemaker,Action,6.0,Mimi Leder,Holt McCallany,41256277.0,Armin Mueller-Stahl,50000000.0
Volcano,Action,5.5,Mick Jackson,Anne Heche,47474112.0,Don Cheadle,90000000.0
Flubber,Comedy,5.3,Les Mayfield,Jodi Benson,92969824.0,Robin Williams,80000000.0
Orgazmo,Comedy,6.1,Trey Parker,Dian Bachar,582024.0,Trey Parker,1000000.0
The Ice Storm,Drama,7.4,Ang Lee,Kate Burton,7837632.0,Joan Allen,18000000.0
Soul Food,Comedy,7.0,George Tillman Jr.,Mekhi Phifer,43490057.0,Vanessa Williams,7500000.0
Children of Heaven,Drama,8.3,Majid Majidi,Amir Farrokh Hashemian,925402.0,Bahare Seddiqi,180000.0
The Relic,Horror,5.8,Peter Hyams,Penelope Ann Miller,33927476.0,John Kapelos,40000000.0
Wag the Dog,Comedy,7.1,Barry Levinson,Kirsten Dunst,43022524.0,Robert De Niro,15000000.0
Absolute Power,Action,6.7,Clint Eastwood,Mark Margolis,50007168.0,Clint Eastwood,50000000.0
Money Talks,Action,6.2,Brett Ratner,Paul Sorvino,41067398.0,Heather Locklear,25000000.0
The Sweet Hereafter,Drama,7.5,Atom Egoyan,Sarah Polley,4306697.0,Bruce Greenwood,5000000.0
Switchback,Crime,6.4,Jeb Stuart,Claudia Stedelin,6482195.0,Gregory Scott Cummins,37000000.0
Nothing to Lose,Action,6.7,Steve Oedekerk,Michael McKean,44455658.0,Kelly Preston,25000000.0
Steel,Action,2.9,Kenneth Johnson,Annabeth Gish,1686429.0,Charles Napier,16000000.0
Eve's Bayou,Drama,7.3,Kasi Lemmons,Lynn Whitfield,14821531.0,Jurnee Smollett-Bell,6000000.0
Kundun,Biography,7.0,Martin Scorsese,Tulku Jamyang Kunga Tenzin,5532301.0,Tenzin Thuthob Tsarong,28000000.0
Air Bud,Comedy,5.3,Charles Martin Smith,Bill Cobbs,24629916.0,Kevin Zegers,3000000.0
Love Jones,Drama,7.4,Theodore Witcher,Nia Long,12514138.0,Leonard Roberts,10000000.0
The Man Who Knew Too Little,Comedy,6.6,Jon Amiel,Peter Gallagher,13801755.0,Bill Murray,20000000.0
Deconstructing Harry,Comedy,7.4,Woody Allen,Lynn Cohen,10569071.0,Woody Allen,20000000.0
Insomnia,Crime,7.3,Erik Skjoldbjærg,Maura Tierney,67263182.0,Al Pacino,46000000.0
Insomnia,Drama,7.2,Christopher Nolan,Maura Tierney,67263182.0,Al Pacino,46000000.0
The Spanish Prisoner,Drama,7.2,David Mamet,Felicity Huffman,10200000.0,Ben Gazzara,10000000.0
Warriors of Virtue,Action,4.7,Ronny Yu,Lee Arenberg,6448817.0,Marley Shelton,35000000.0
The Apostle,Drama,7.2,Robert Duvall,Todd Allen,20733485.0,John Beasley,5000000.0
Ulee's Gold,Drama,7.0,Victor Nunez,Patricia Richardson,9054736.0,Peter Fonda,2700000.0
Prefontaine,Biography,6.8,Steve James,Laurel Holloman,532190.0,Kurtwood Smith,8000000.0
Cats Don't Dance,Animation,6.9,Mark Dindal,Frank Welker,3562749.0,George Kennedy,32000000.0
Turbulence,Action,4.9,Robert Butler,Lauren Holly,11466088.0,Hector Elizondo,71000000.0
Two Girls and a Guy,Comedy,5.5,James Toback,Natasha Gregson Wagner,1950218.0,Robert Downey Jr.,1000000.0
A Simple Wish,Comedy,5.4,Michael Ritchie,Francis Capra,8119205.0,Mara Wilson,28000000.0
The Last Time I Committed Suicide,Biography,5.6,Stephen Kay,Marg Helgenberger,12836.0,Keanu Reeves,4000000.0
8 Heads in a Duffel Bag,Adventure,5.4,Tom Schulman,George Hamilton,3559990.0,Kristy Swanson,3000000.0
In the Company of Men,Comedy,7.2,Neil LaBute,Matt Malloy,2856622.0,Stacy Edwards,25000.0
Oscar and Lucinda,Drama,6.6,Gillian Armstrong,Richard Roxburgh,1508689.0,Tom Wilkinson,16000000.0
Smilla's Sense of Snow,Crime,6.4,Bille August,Tom Wilkinson,2221994.0,Jim Broadbent,35000000.0
The Big Lebowski,Comedy,8.1,Joel Coen,Jeff Bridges,17439163.0,Philip Seymour Hoffman,15000000.0
Saving Private Ryan,Drama,8.6,Steven Spielberg,Vin Diesel,216119491.0,Tom Hanks,70000000.0
American History X,Drama,8.5,Tony Kaye,Beverly D'Angelo,6712241.0,Ethan Suplee,7500000.0
"Lock, Stock and Two Smoking Barrels",Action,8.2,Guy Ritchie,Jason Flemyng,3650677.0,Jason Statham,960000.0
The Truman Show,Comedy,8.1,Peter Weir,Noah Emmerich,125603360.0,Natascha McElhone,60000000.0
Armageddon,Action,6.7,Michael Bay,Steve Buscemi,201573391.0,Bruce Willis,140000000.0
Rounders,Crime,7.3,John Dahl,Martin Landau,22905674.0,Matt Damon,12000000.0
Wild Things,Crime,6.5,John McNaughton,Robert Wagner,29753944.0,Bill Murray,20000000.0
Blade,Action,7.1,Stephen Norrington,Traci Lords,70001065.0,Sanaa Lathan,45000000.0
Meet Joe Black,Drama,7.2,Martin Brest,Brad Pitt,44606335.0,Anthony Hopkins,90000000.0
Fear and Loathing in Las Vegas,Adventure,7.6,Terry Gilliam,Michael Jeter,10562387.0,Johnny Depp,18500000.0
Deep Impact,Action,6.2,Mimi Leder,Jon Favreau,140459099.0,Morgan Freeman,75000000.0
There's Something About Mary,Comedy,7.1,Bobby Farrelly,Lin Shaye,176483808.0,Sarah Silverman,23000000.0
The Faculty,Horror,6.5,Robert Rodriguez,Salma Hayek,40064955.0,Jordana Brewster,15000000.0
A Bug's Life,Animation,7.2,John Lasseter,Madeline Kahn,162792677.0,Kevin Spacey,120000000.0
Out of Sight,Comedy,7.0,Steven Soderbergh,Albert Brooks,37339525.0,Don Cheadle,48000000.0
Mulan,Animation,7.6,Tony Bancroft,Harvey Fierstein,120618403.0,Ming-Na Wen,90000000.0
Practical Magic,Comedy,6.3,Griffin Dunne,Dianne Wiest,46611204.0,Goran Visnjic,48000000.0
The Thin Red Line,Drama,7.6,Terrence Malick,Miranda Otto,36385763.0,Nick Stahl,52000000.0
You've Got Mail,Comedy,6.7,Nora Ephron,Jean Stapleton,115731542.0,Tom Hanks,65000000.0
What Dreams May Come,Drama,7.0,Vincent Ward,Annabella Sciorra,55350897.0,Robin Williams,85000000.0
Rushmore,Comedy,7.7,Wes Anderson,Connie Nielsen,17096053.0,Bill Murray,9000000.0
The Mask of Zorro,Action,6.8,Martin Campbell,Tony Amendola,93771072.0,Anthony Hopkins,65000000.0
Dark City,Fantasy,7.6,Alex Proyas,William Hurt,14337579.0,Rufus Sewell,27000000.0
Ever After: A Cinderella Story,Comedy,7.0,Andy Tennant,Dougray Scott,65703412.0,Anjelica Huston,26000000.0
Shakespeare in Love,Comedy,7.1,John Madden,Martin Clunes,100241322.0,Tom Wilkinson,25000000.0
Can't Hardly Wait,Comedy,6.5,Harry Elfont,Lauren Ambrose,25339117.0,Ethan Embry,10000000.0
Small Soldiers,Action,6.2,Joe Dante,Denis Leary,53955614.0,Kirsten Dunst,40000000.0
Snake Eyes,Crime,6.0,Brian De Palma,Mike Starr,55585389.0,Nicolas Cage,69000000.0
The Prince of Egypt,Animation,7.1,Brenda Chapman,Aria Noelle Curzon,101217900.0,Martin Short,70000000.0
Stepmom,Comedy,6.8,Chris Columbus,Liam Aiken,91030827.0,Julia Roberts,50000000.0
The Waterboy,Comedy,6.1,Frank Coraci,Clint Howard,161487252.0,Adam Sandler,20000000.0
Blast from the Past,Comedy,6.6,Hugh Wilson,Sissy Spacek,26494611.0,Brendan Fraser,35000000.0
Star Trek: Insurrection,Action,6.4,Jonathan Frakes,Jonathan Frakes,70117571.0,LeVar Burton,58000000.0
The Man in the Iron Mask,Action,6.5,Randall Wallace,Anne Parillaud,56876365.0,Leonardo DiCaprio,35000000.0
Enemy of the State,Action,7.3,Tony Scott,Jake Busey,111544445.0,Will Smith,90000000.0
The Celebration,Drama,8.1,Thomas Vinterberg,Paprika Steen,1647780.0,Ulrich Thomsen,1300000.0
Urban Legend,Horror,5.6,Jamie Blanks,Loretta Devine,38048637.0,Alicia Witt,14000000.0
Ronin,Action,7.3,John Frankenheimer,Natascha McElhone,41609593.0,Robert De Niro,55000000.0
Lost in Space,Action,5.2,Stephen Hopkins,William Hurt,69102910.0,Gary Oldman,80000000.0
Bride of Chucky,Comedy,5.4,Ronny Yu,Park Bench,32368960.0,Alexis Arquette,25000000.0
Pi,Drama,7.4,Darren Aronofsky,Clint Mansell,3216970.0,Mark Margolis,60000.0
The Horse Whisperer,Drama,6.6,Robert Redford,Kristin Scott Thomas,75370763.0,Scarlett Johansson,60000000.0
Happiness,Comedy,7.7,Todd Solondz,Jon Lovitz,3000000.0,Philip Seymour Hoffman,3000000.0
Patch Adams,Biography,6.8,Tom Shadyac,Philip Seymour Hoffman,135014968.0,Robin Williams,50000000.0
Sphere,Action,6.1,Barry Levinson,James Pickens Jr.,36976367.0,Peter Coyote,75000000.0
Six Days Seven Nights,Action,5.8,Ivan Reitman,Anne Heche,74329966.0,Harrison Ford,70000000.0
Deep Rising,Action,6.1,Stephen Sommers,Jason Flemyng,11146409.0,Djimon Hounsou,45000000.0
Lethal Weapon 4,Action,6.6,Richard Donner,Rene Russo,129734803.0,Jet Li,140000000.0
Elizabeth,Biography,7.4,Shekhar Kapur,John Gielgud,30012990.0,Fanny Ardant,25000000.0
The Negotiator,Action,7.3,F. Gary Gray,Michael Cudlitz,44484065.0,Kevin Spacey,50000000.0
54,Drama,5.8,Mark Christopher,Ellen Albertini Dow,16574731.0,Salma Hayek,13000000.0
Hope Floats,Drama,6.0,Forest Whitaker,Harry Connick Jr.,60033780.0,Bill Cobbs,30000000.0
Sliding Doors,Comedy,6.7,Peter Howitt,Kevin McNally,11883495.0,Jeanne Tripplehorn,9000000.0
Buffalo '66,Comedy,7.5,Vincent Gallo,Vincent Gallo,2365931.0,Anjelica Huston,1500000.0
Psycho,Horror,4.6,Gus Van Sant,Vera Miles,32000000.0,Janet Leigh,806947.0
Disturbing Behavior,Horror,5.6,David Nutter,Ethan Embry,17411331.0,Bruce Greenwood,15000000.0
Mercury Rising,Action,6.1,Harold Becker,Miko Hughes,32940507.0,Bruce Willis,60000000.0
Run Lola Run,Crime,7.7,Tom Tykwer,Ludger Pistor,7267324.0,Moritz Bleibtreu,3500000.0
City of Angels,Drama,6.7,Brad Silberling,Andre Braugher,78745923.0,Nicolas Cage,55000000.0
Half Baked,Comedy,6.7,Tamra Davis,Harland Williams,17278980.0,Dave Chappelle,8000000.0
He Got Game,Drama,6.9,Spike Lee,Milla Jovovich,21554585.0,Denzel Washington,25000000.0
Antz,Animation,6.5,Eric Darnell,Woody Allen,90646554.0,Sylvester Stallone,105000000.0
A Simple Plan,Crime,7.5,Sam Raimi,Bridget Fonda,16311763.0,Gary Cole,17000000.0
Vampires,Action,6.1,John Carpenter,Cary-Hiroyuki Tagawa,20241395.0,Sheryl Lee,20000000.0
The Avengers,Action,3.8,Jeremiah S. Chechik,Robert Downey Jr.,623279547.0,Chris Hemsworth,220000000.0
The Avengers,Action,8.0,Joss Whedon,Robert Downey Jr.,623279547.0,Chris Hemsworth,220000000.0
I Still Know What You Did Last Summer,Horror,4.7,Danny Cannon,Mekhi Phifer,39989008.0,Muse Watson,24000000.0
The Siege,Action,6.4,Edward Zwick,Bruce Willis,40932372.0,Denzel Washington,70000000.0
Soldier,Action,6.0,Paul W.S. Anderson,Sean Pertwee,14567883.0,Connie Nielsen,75000000.0
A Night at the Roxbury,Comedy,6.2,John Fortenberry,Chris Kattan,30324946.0,Will Ferrell,17000000.0
The X Files,Drama,7.0,Rob Bowman,Mitch Pileggi,83892374.0,Martin Landau,66000000.0
Six-String Samurai,Action,6.6,Lance Mungia,Stephane Gauger,124494.0,Jeffrey Falcon,2000000.0
The Replacement Killers,Action,6.2,Antoine Fuqua,Clifton Collins Jr.,18967571.0,Mira Sorvino,30000000.0
Bulworth,Comedy,6.8,Warren Beatty,Kirk Baltz,26525834.0,Warren Beatty,30000000.0
Dirty Work,Comedy,6.4,Bob Saget,Jack Warden,9975684.0,Don Rickles,13000000.0
Doctor Dolittle,Comedy,5.4,Betty Thomas,Raven-Symoné,144156464.0,Oliver Platt,71500000.0
Celebrity,Comedy,6.3,Woody Allen,Aleksa Palladino,5032496.0,Melanie Griffith,12000000.0
Very Bad Things,Comedy,6.3,Peter Berg,Daniel Stern,9801782.0,Jon Favreau,10000000.0
The Big Hit,Action,6.1,Kirk Wong,Elliott Gould,27052167.0,Bokeem Woodbine,13000000.0
Gods and Monsters,Biography,7.4,Bill Condon,Lynn Redgrave,6390032.0,Brendan Fraser,3500000.0
The Red Violin,Drama,7.6,François Girard,Clotilde Mollet,9473382.0,Johannes Silberschneider,10000000.0
Mighty Joe Young,Action,5.7,Ron Underwood,Mika Boorem,50628009.0,Charlize Theron,90000000.0
The Object of My Affection,Comedy,6.0,Nicholas Hytner,Tim Daly,29106737.0,Liam Aiken,15000000.0
Twilight,Crime,6.2,Robert Benton,Taylor Lautner,191449475.0,Kristen Stewart,37000000.0
Twilight,Drama,5.2,Catherine Hardwicke,Taylor Lautner,191449475.0,Kristen Stewart,37000000.0
Les Misérables,Crime,7.4,Bille August,Eddie Redmayne,148775460.0,Hugh Jackman,61000000.0
Les Misérables,Drama,7.6,Tom Hooper,Eddie Redmayne,148775460.0,Hugh Jackman,61000000.0
Waking Ned Devine,Comedy,7.4,Kirk Jones,David Kelly,24788807.0,James Nesbitt,3000000.0
Babe: Pig in the City,Adventure,5.8,George Miller,Elizabeth Daily,18318000.0,Adam Goldberg,80000000.0
Primary Colors,Comedy,6.7,Mike Nichols,Adrian Lester,38966057.0,Maura Tierney,65000000.0
Hard Rain,Action,5.9,Mikael Salomon,Minnie Driver,19819494.0,Morgan Freeman,70000000.0
Simon Birch,Comedy,6.9,Mark Steven Johnson,Jan Hooks,18252684.0,Oliver Platt,30000000.0
How Stella Got Her Groove Back,Comedy,5.7,Kevin Rodney Sullivan,James Pickens Jr.,37672350.0,Richard Lawson,20000000.0
A Civil Action,Drama,6.6,Steven Zaillian,Kathleen Quinlan,56702901.0,Robert Duvall,60000000.0
The Rugrats Movie,Animation,5.9,Igor Kovalyov,Cree Summer,100491683.0,Elizabeth Daily,24000000.0
The Players Club,Comedy,5.9,Ice Cube,Monica Calhoun,23031390.0,Bernie Mac,4500000.0
Dead Man on Campus,Comedy,6.0,Alan Cohn,Linda Cardellini,15062898.0,Alyson Hannigan,14000000.0
The Newton Boys,Action,6.1,Richard Linklater,Lew Temple,10297897.0,Matthew McConaughey,27000000.0
Central Station,Drama,8.0,Walter Salles,Matheus Nachtergaele,5595428.0,Fernanda Montenegro,2900000.0
Without Limits,Biography,7.2,Robert Towne,Monica Potter,777423.0,Billy Burke,25000000.0
Smoke Signals,Comedy,7.2,Chris Eyre,Irene Bedard,6719300.0,Michael Greyeyes,2000000.0
Beloved,Drama,6.0,Jonathan Demme,Kimberly Elise,22843047.0,Oprah Winfrey,55000000.0
One True Thing,Drama,7.0,Carl Franklin,William Hurt,23209440.0,Meryl Streep,30000000.0
Slums of Beverly Hills,Comedy,6.6,Tamara Jenkins,Kevin Corrigan,5480318.0,Natasha Lyonne,5000000.0
Barney's Great Adventure,Adventure,3.2,Steve Gomer,Kyla Pratt,11144518.0,Trevor Morgan,15000000.0
Meet the Deedles,Comedy,4.1,Steve Boyum,M.C. Gainey,4308981.0,Paul Walker,24000000.0
Clay Pigeons,Comedy,6.6,David Dobkin,Vince Vieluf,1789892.0,Janeane Garofalo,8000000.0
Knock Off,Action,4.9,Hark Tsui,Lela Rochon,10076136.0,Paul Sorvino,35000000.0
Holy Man,Comedy,4.9,Stephen Herek,Morgan Fairchild,12065985.0,Kelly Preston,60000000.0
Zero Effect,Comedy,6.9,Jake Kasdan,Ryan O'Neal,1980338.0,Kim Dickens,5000000.0
Home Fries,Comedy,5.1,Dean Parisot,Jake Busey,10443316.0,Catherine O'Hara,15000000.0
The Matrix,Action,8.7,Lana Wachowski,Marcus Chong,171383253.0,Keanu Reeves,63000000.0
Fight Club,Drama,8.8,David Fincher,Meat Loaf,37023395.0,Brad Pitt,63000000.0
The Talented Mr. Ripley,Crime,7.4,Anthony Minghella,Matt Damon,81292135.0,Philip Seymour Hoffman,40000000.0
Eyes Wide Shut,Drama,7.4,Stanley Kubrick,Vinessa Shaw,55637680.0,Tom Cruise,65000000.0
American Pie,Comedy,7.0,Paul Weitz,Shannon Elizabeth,101736215.0,Alyson Hannigan,11000000.0
The Green Mile,Crime,8.6,Frank Darabont,Jeffrey DeMunn,136801374.0,Tom Hanks,60000000.0
American Beauty,Drama,8.3,Sam Mendes,Peter Gallagher,130058047.0,Kevin Spacey,15000000.0
Star Wars: Episode I - The Phantom Menace,Action,6.5,George Lucas,Liam Neeson,474544677.0,Natalie Portman,115000000.0
10 Things I Hate About You,Comedy,7.3,Gil Junger,Heath Ledger,38176108.0,Joseph Gordon-Levitt,16000000.0
The Sixth Sense,Drama,8.1,M. Night Shyamalan,Haley Joel Osment,293501675.0,Bruce Willis,40000000.0
Office Space,Comedy,7.7,Mike Judge,Stephen Root,10824921.0,Gary Cole,10000000.0
Galaxy Quest,Adventure,7.3,Dean Parisot,Enrico Colantoni,71423726.0,Alan Rickman,45000000.0
Notting Hill,Comedy,7.1,Roger Michell,Clarke Peters,116006080.0,Julia Roberts,42000000.0
Cruel Intentions,Drama,6.8,Roger Kumble,Sean Patrick Thomas,38201895.0,Sarah Michelle Gellar,10500000.0
The Blair Witch Project,Horror,6.5,Daniel Myrick,Joshua Leonard,140530114.0,Heather Donahue,60000.0
The Virgin Suicides,Drama,7.2,Sofia Coppola,Kathleen Turner,4859475.0,Kirsten Dunst,6000000.0
Magnolia,Drama,8.0,Paul Thomas Anderson,Neil Flynn,22450975.0,Patton Oswalt,37000000.0
"Girl, Interrupted",Biography,7.3,James Mangold,Clea DuVall,28871190.0,Angelina Jolie Pitt,24000000.0
Stuart Little,Adventure,5.9,Rob Minkoff,Nathan Lane,140015224.0,Chazz Palminteri,133000000.0
Deep Blue Sea,Action,5.9,Renny Harlin,Michael Rapaport,73648142.0,LL Cool J,60000000.0
Varsity Blues,Comedy,6.5,Brian Robbins,Ron Lester,52885587.0,Paul Walker,16000000.0
She's All That,Comedy,5.9,Robert Iscove,Clea DuVall,63319509.0,Paul Walker,10000000.0
Lake Placid,Action,5.7,Steve Miner,Bridget Fonda,31768374.0,Oliver Platt,27000000.0
Toy Story 2,Animation,7.9,John Lasseter,John Ratzenberger,245823397.0,Tom Hanks,90000000.0
Dogma,Adventure,7.3,Kevin Smith,Janeane Garofalo,30651422.0,Matt Damon,10000000.0
Election,Comedy,7.2,Alexander Payne,Chris Klein,14879556.0,Matthew Broderick,8000000.0
Being John Malkovich,Comedy,7.7,Spike Jonze,Orson Bean,22858926.0,Willie Garson,13000000.0
The Iron Giant,Animation,8.0,Brad Bird,Harry Connick Jr.,23159305.0,Vin Diesel,70000000.0
The World Is Not Enough,Action,6.4,Michael Apted,Maria Grazia Cucinotta,126930660.0,Colin Salmon,135000000.0
Mystery Men,Action,6.1,Kinka Usher,Wes Studi,29655590.0,Janeane Garofalo,65000000.0
Wild Wild West,Action,4.9,Barry Sonnenfeld,Salma Hayek,113745408.0,Will Smith,170000000.0
Big Daddy,Comedy,6.4,Dennis Dugan,Adam Sandler,163479795.0,Steve Buscemi,34200000.0
The Ninth Gate,Mystery,6.7,Roman Polanski,Frank Langella,18653746.0,Johnny Depp,38000000.0
Double Jeopardy,Crime,6.5,Bruce Beresford,Annabeth Gish,116735231.0,Bruce Greenwood,70000000.0
The Insider,Biography,7.8,Michael Mann,Rip Torn,28965197.0,Al Pacino,68000000.0
Deuce Bigalow: Male Gigolo,Comedy,5.7,Mike Mitchell,Eddie Griffin,65535067.0,Amy Poehler,17000000.0
The 13th Warrior,Action,6.6,John McTiernan,Vladimir Kulich,32694788.0,Tony Curran,85000000.0
End of Days,Action,5.8,Peter Hyams,Mark Margolis,66862068.0,CCH Pounder,83000000.0
