rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year
182,2010-12-10,The Chronicles of Narnia: The Voyage of the Daw…,/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary,155000000,104386950,418186950,NA,NA,NA,NA,NA,2010
183,2021-03-25,Godzilla vs. Kong,/movie/Godzilla-vs-Kong-(2020)#tab=summary,155000000,100916094,468064628,32200000,PG-13,Action,3084,113,2021
184,2015-06-24,Terminator: Genisys,/movie/Terminator-Genisys#tab=summary,155000000,89760956,432150894,27018486,PG-13,Action,3783,126,2015
185,2018-03-16,Pacific Rim: Uprising,/movie/Pacific-Rim-Uprising#tab=summary,155000000,59874525,290930148,28116535,PG-13,Action,3708,111,2018
186,2004-11-24,Alexander,/movie/Alexander#tab=summary,155000000,34297191,167297191,13687087,R,Action,2445,175,2004
187,2017-07-14,War for the Planet of the Apes,/movie/War-for-the-Planet-of-the-Apes#tab=summary,152000000,146880162,489592267,56262929,PG-13,Action,4100,142,2017
188,2001-05-25,Pearl Harbor,/movie/Pearl-Harbor#tab=summary,151500000,198539855,449239853,59078912,PG-13,Action,3255,182,2001
189,2007-07-02,Transformers,/movie/Transformers#tab=summary,151000000,319246193,708272592,70502384,PG-13,Action,4050,142,2007
190,2019-11-20,Frozen II,/movie/Frozen-II-(2019)#tab=summary,150000000,477373578,1445182280,130263358,PG,Adventure,4440,103,2019
191,2017-05-29,Wonder Woman,/movie/Wonder-Woman-(2017)#tab=summary,150000000,412563408,818058221,103251471,PG-13,Action,4165,141,2017
192,2013-11-22,Frozen,/movie/Frozen-(2013)#tab=summary,150000000,400953009,1261788407,243390,PG,Musical,3742,102,2013
193,2016-02-10,Zootopia,/movie/Zootopia-(2016)#tab=summary,150000000,341268248,1004629935,75063401,PG,Adventure,3959,108,2016
194,2007-07-11,Harry Potter and the Order of the Phoenix,/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary,150000000,292137260,939619849,77108414,PG-13,Adventure,4285,138,2007
195,2005-11-18,Harry Potter and the Goblet of Fire,/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,150000000,290201752,886746240,102685961,PG-13,Adventure,3858,150,2005
196,2003-05-15,The Matrix Reloaded,/movie/Matrix-Reloaded-The#tab=summary,150000000,281553689,738576929,91774413,R,Action,3603,138,2003
197,2007-12-14,I am Legend,/movie/I-am-Legend#tab=summary,150000000,256393010,585532684,77211321,PG-13,Horror,3648,100,2007
198,2016-01-27,Moana,/movie/Moana-(2016)#tab=summary,150000000,248757044,631617146,56631401,PG,Musical,3875,113,2016
199,2008-07-01,Hancock,/movie/Hancock-(2008)#tab=summary,150000000,227946274,624234272,62603879,PG-13,Action,3965,92,2008
200,2021-09-01,Shang-Chi and the Legend of the Ten Rings,/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary,150000000,224543292,432243292,75388688,PG-13,Action,4300,132,2021
201,2005-07-15,Charlie and the Chocolate Factory,/movie/Charlie-and-the-Chocolate-Factory-(2005)#tab=summary,150000000,206459076,475825484,56178450,PG,Adventure,3790,115,2005
202,2007-06-29,Ratatouille,/movie/Ratatouille#tab=summary,150000000,206445654,626549695,47027395,G,Adventure,3940,110,2007
203,2013-10-30,Thor: The Dark World,/movie/Thor-The-Dark-World#tab=summary,150000000,206362140,644602516,85737841,PG-13,Action,3841,111,2013
204,2005-06-15,Batman Begins,/movie/Batman-Begins#tab=summary,150000000,205343774,358858124,48745440,PG-13,Action,3858,140,2005
205,2015-07-29,Mission: Impossible—Rogue Nation,/movie/Mission-Impossible-Rogue-Nation#tab=summary,150000000,195042377,688858992,55520089,PG-13,Action,3988,131,2015
206,2017-07-18,Dunkirk,/movie/Dunkirk-(2017)#tab=summary,150000000,190068280,518058826,50513488,PG-13,Action,4014,107,2017
207,2011-04-29,Thor,/movie/Thor#tab=summary,150000000,181030624,449326618,65723338,PG-13,Action,3963,113,2011
208,2008-11-07,Madagascar: Escape 2 Africa,/movie/Madagascar-Escape-2-Africa#tab=summary,150000000,180174880,599680774,63106589,PG,Adventure,4065,89,2008
209,2009-05-01,X-Men Origins: Wolverine,/movie/X-Men-Origins-Wolverine#tab=summary,150000000,179883157,374825760,85058003,PG-13,Action,4102,107,2009
210,2009-05-22,Night at the Museum: Battle of the Smithsonian,/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary,150000000,177243721,402231063,54173286,PG,Adventure,4101,105,2009
211,2011-05-26,Kung Fu Panda 2,/movie/Kung-Fu-Panda-2#tab=summary,150000000,165249063,664837547,47656302,PG,Adventure,3952,90,2011
212,2015-05-14,Mad Max: Fury Road,/movie/Mad-Max-Fury-Road#tab=summary,150000000,153636354,367457874,45428128,R,Action,3722,120,2015
213,2019-05-03,Pokémon: Detective Pikachu,/movie/Pokemon-Detective-Pikachu-(2019)#tab=summary,150000000,144105346,431344168,54365242,PG,Adventure,4248,104,2019
214,2003-11-05,The Matrix Revolutions,/movie/Matrix-Revolutions-The#tab=summary,150000000,139270910,427300260,48475154,R,Action,3502,129,2003
215,2018-03-20,Ready Player One,/movie/Ready-Player-One#tab=summary,150000000,137690172,579055653,41769050,PG-13,Adventure,4234,140,2018
216,2005-11-04,Chicken Little,/movie/Chicken-Little#tab=summary,150000000,135386665,310043823,40049778,G,Adventure,3658,82,2005
217,2006-05-05,Mission: Impossible III,/movie/Mission-Impossible-III#tab=summary,150000000,133501348,399387745,47743273,PG-13,Action,4059,126,2006
218,2009-05-15,Angels & Demons,/movie/Angels-and-Demons#tab=summary,150000000,133375846,490875846,46204168,PG-13,Thriller/Suspense,3527,138,2009
219,2004-05-13,Troy,/movie/Troy#tab=summary,150000000,133298577,483152040,46865412,R,Action,3411,162,2004
220,2010-07-01,The Last Airbender,/movie/Last-Airbender-The#tab=summary,150000000,131772187,319713881,40325019,PG,Adventure,3203,103,2010
221,2007-11-02,Bee Movie,/movie/Bee-Movie#tab=summary,150000000,126631277,287594577,38021044,PG,Adventure,3984,90,2007
222,2009-07-24,G-Force,/movie/G-Force#tab=summary,150000000,119436770,292817841,31706934,PG,Adventure,3697,87,2009
223,2008-11-21,Bolt,/movie/Bolt#tab=summary,150000000,114053579,328015029,26223128,PG,Adventure,3654,96,2008
224,2021-11-24,Encanto,/movie/Encanto-(2021)#tab=summary,150000000,96093622,230873149,27206494,PG,Adventure,3980,109,2021
225,2012-03-28,Wrath of the Titans,/movie/Wrath-of-the-Titans#tab=summary,150000000,83670083,305270083,33457188,PG-13,Adventure,3545,99,2012
226,2007-11-16,Beowulf,/movie/Beowulf#tab=summary,150000000,82280579,195080579,27515871,PG-13,Adventure,3249,115,2007
227,2012-05-09,Dark Shadows,/movie/Dark-Shadows#tab=summary,150000000,79727149,238202668,29685274,PG-13,Black Comedy,3755,112,2012
228,2013-06-28,White House Down,/movie/White-House-Down#tab=summary,150000000,73103784,205440387,24852258,PG-13,Thriller/Suspense,3222,131,2013
229,2021-07-14,Space Jam: A New Legacy,/movie/Space-Jam-A-New-Legacy#tab=summary,150000000,70592228,144003749,31053362,PG,Comedy,4002,115,2021
230,2010-02-12,The Wolfman,/movie/Wolfman-The-(2010)#tab=summary,150000000,62189884,142634358,31479235,R,Horror,3223,102,2010
231,2016-12-15,The Great Wall,/movie/Great-Wall-The#tab=summary,150000000,45157105,334486852,18469620,PG-13,Action,3328,104,2016
232,2015-09-25,Pan,/movie/Pan-(2015)#tab=summary,150000000,35088320,151525973,15315435,PG,Adventure,3515,111,2015
233,2011-03-11,Mars Needs Moms,/movie/Mars-Needs-Moms#tab=summary,150000000,21392758,39549758,6914488,PG,Adventure,3117,88,2011
234,2022-02-03,Moonfall,/movie/Moonfall-(2022)#tab=summary,150000000,19060660,59049032,9868997,PG-13,Action,3446,124,2022
235,2021-11-04,Red Notice,/movie/Red-Notice-(2020)#tab=summary,150000000,0,173638,NA,PG-13,Action,NA,115,2021
236,2019-12-13,6 Underground,/movie/6-Underground-(2019)#tab=summary,150000000,0,0,NA,R,Action,NA,128,2019
237,2006-11-03,Flushed Away,/movie/Flushed-Away#tab=summary,149000000,64665672,179357126,18814323,PG,Adventure,3707,85,2006
238,2012-06-08,Madagascar 3: Europe's Most Wanted,/movie/Madagascar-3#tab=summary,145000000,216391482,746921271,60316738,PG,Adventure,4263,85,2012
239,2011-12-14,Mission: Impossible—Ghost Protocol,/movie/Mission-Impossible-Ghost-Protocol#tab=summary,145000000,209397903,694713230,12785204,PG-13,Action,3555,132,2011
240,2014-06-05,How to Train Your Dragon 2,/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary,145000000,177002924,614586270,49451322,PG,Adventure,4268,102,2014
241,1999-06-16,Tarzan,/movie/Tarzan#tab=summary,145000000,171091819,448191819,34221968,G,Adventure,3131,88,1999
242,2014-02-20,Mr. Peabody & Sherman,/movie/Mr-Peabody-and-Sherman#tab=summary,145000000,111506430,269806430,32207057,PG,Adventure,3951,91,2014
243,2012-11-20,Rise of the Guardians,/movie/Rise-of-the-Guardians#tab=summary,145000000,103412758,306900902,23773465,PG,Adventure,3672,97,2012
244,2005-04-08,Sahara,/movie/Sahara#tab=summary,145000000,68671925,121645390,18068372,PG-13,Adventure,3200,124,2005
245,2016-07-13,Ghostbusters,/movie/Ghostbusters-(2016)#tab=summary,144000000,128350574,229008658,46018755,PG-13,Comedy,3963,117,2016
246,2002-11-22,Die Another Day,/movie/Die-Another-Day#tab=summary,142000000,160942139,431942139,47072040,PG-13,Action,3377,133,2002
247,2003-07-09,Pirates of the Caribbean: The Curse of the Blac…,/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary,140000000,305410819,654310819,NA,NA,NA,NA,NA,2003
248,2009-05-08,Star Trek,/movie/Star-Trek#tab=summary,140000000,257730019,386839614,79204289,PG-13,Adventure,4053,125,2009
249,1998-07-01,Armageddon,/movie/Armageddon#tab=summary,140000000,201578182,554600000,36089972,PG-13,Adventure,3184,150,1998
250,2002-07-03,Men in Black 2,/movie/Men-in-Black-2#tab=summary,140000000,190418803,441767803,52148751,PG-13,Action,3641,86,2002
251,2011-07-22,Captain America: The First Avenger,/movie/Captain-America-The-First-Avenger#tab=summary,140000000,176654505,370569776,65058524,PG-13,Action,3715,124,2011
252,2016-01-23,Kung Fu Panda 3,/movie/Kung-Fu-Panda-3#tab=summary,140000000,143528619,521170825,41282042,PG,Adventure,3987,94,2016
253,1998-07-10,Lethal Weapon 4,/movie/Lethal-Weapon-4#tab=summary,140000000,130444603,285400000,34048124,R,Action,3117,127,1998
254,2013-03-27,G.I. Joe: Retaliation,/movie/GI-Joe-Retaliation#tab=summary,140000000,122523060,375740705,40501814,PG-13,Action,3734,110,2013
255,2003-12-05,The Last Samurai,/movie/Last-Samurai-The#tab=summary,140000000,111110575,456810575,24271354,R,Action,2938,154,2003
256,2005-12-21,Fun With Dick And Jane,/movie/Fun-With-Dick-And-Jane#tab=summary,140000000,110550000,203018919,14383515,PG-13,Comedy,3239,90,2005
257,2014-12-05,Exodus: Gods and Kings,/movie/Exodus-Gods-and-Kings#tab=summary,140000000,65014513,268314513,24115934,PG-13,Drama,3503,150,2014
258,2016-06-30,The BFG,/movie/BFG-The-(2016)#tab=summary,140000000,55483770,199646680,18775350,PG,Adventure,3392,115,2016
259,2019-10-03,Gemini Man,/movie/Gemini-Man-(2019)#tab=summary,140000000,48546770,166623705,20552372,PG-13,Action,3642,116,2019
260,2016-02-24,Gods of Egypt,/movie/Gods-of-Egypt#tab=summary,140000000,31153464,138836756,14123903,PG-13,Adventure,3117,127,2016
261,NA,Desert Warrior,/movie/Desert-Warrior-(2022-Saudi-Arabia)#tab=summary,140000000,0,0,NA,NA,NA,NA,NA,NA
262,2002-05-03,Spider-Man,/movie/Spider-Man#tab=summary,139000000,403706375,821706375,114844116,PG-13,Adventure,3876,121,2002
263,2009-03-06,Watchmen,/movie/Watchmen#tab=summary,138000000,107509799,186976250,55214334,R,Action,3611,161,2009
264,2005-07-29,Stealth,/movie/Stealth#tab=summary,138000000,32116746,76416746,13251545,PG-13,Action,3495,121,2005
265,2008-06-13,The Incredible Hulk,/movie/Incredible-Hulk-The#tab=summary,137500000,134806913,265573859,55414050,PG-13,Adventure,3508,112,2008
266,2003-06-20,Hulk,/movie/Hulk#tab=summary,137000000,132177234,245031679,62128420,PG-13,Action,3674,138,2003
267,2001-07-11,Final Fantasy: The Spirits Within,/movie/Final-Fantasy-The-Spirits-Within#tab=summary,137000000,32131830,85131830,11408853,PG-13,Adventure,2649,106,2001
268,2012-11-14,"The Twilight Saga: Breaking Dawn, Part 2",/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary,136200000,292324737,829724737,141067634,PG-13,Drama,4070,115,2012
269,2013-03-15,The Croods,/movie/Croods-The#tab=summary,135000000,187168425,573068425,43639736,PG,Adventure,4065,98,2013
270,2015-12-25,The Revenant,/movie/Revenant-The-(2015)#tab=summary,135000000,183637894,532938302,474560,R,Adventure,3711,156,2015
271,1999-11-19,The World is Not Enough,/movie/World-is-Not-Enough-The#tab=summary,135000000,126930660,361730660,35519007,PG-13,Action,3165,128,1999
272,2011-03-04,Rango,/movie/Rango#tab=summary,135000000,123477607,245724600,38079323,PG,Adventure,3923,107,2011
273,2003-11-14,Master and Commander: The Far Side of the World,/movie/Master-and-Commander-The-Far-Side-of-the-World#tab=summary,135000000,93926386,212912137,25105990,PG-13,Adventure,3101,139,2003
274,2013-07-17,Turbo,/movie/Turbo#tab=summary,135000000,83028130,286896578,21312625,PG,Adventure,3809,96,2013
275,2016-06-02,Teenage Mutant Ninja Turtles: Out of the Shadows,/movie/Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows#tab=summary,135000000,82051601,245328374,35316382,PG-13,Adventure,4071,112,2016
276,2011-11-18,Happy Feet Two,/movie/Happy-Feet-2#tab=summary,135000000,64006466,157956466,21237068,PG,Adventure,3611,99,2011
277,2006-07-28,Miami Vice,/movie/Miami-Vice-(2006)#tab=summary,135000000,63478838,164920076,25723815,R,Action,3026,132,2006
278,2018-10-31,The Nutcracker and the Four Realms,/movie/Nutcracker-and-the-Four-Realms-The-(2018)#tab=summary,132900000,54858851,170024300,20352491,PG,Adventure,3766,99,2018
279,2005-06-24,War of the Worlds,/movie/War-of-the-Worlds#tab=summary,132000000,234280354,606836535,64878725,PG-13,Action,3910,116,2005
280,2014-11-26,Penguins of Madagascar,/movie/Penguins-of-Madagascar#tab=summary,132000000,83350911,366942531,25447444,PG,Adventure,3775,92,2014
281,2013-11-15,The Hunger Games: Catching Fire,/movie/Hunger-Games-Catching-Fire-The#tab=summary,130000000,424668047,864868047,158074286,PG-13,Adventure,4163,146,2013
282,2004-05-31,Harry Potter and the Prisoner of Azkaban,/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary,130000000,249757726,789592708,93687367,PG,Adventure,3855,141,2004
283,2007-08-03,The Bourne Ultimatum,/movie/Bourne-Ultimatum-The#tab=summary,130000000,227471070,444043396,69283690,PG-13,Thriller/Suspense,3701,113,2007
284,2018-07-03,Ant-Man and the Wasp,/movie/Ant-Man-and-the-Wasp#tab=summary,130000000,216648740,623144660,75812205,PG-13,Action,4206,118,2018
285,2008-06-06,Kung Fu Panda,/movie/Kung-Fu-Panda#tab=summary,130000000,215434591,631910531,60239130,PG,Adventure,4136,91,2008
286,2015-07-14,Ant-Man,/movie/Ant-Man#tab=summary,130000000,180202163,518858449,57225526,PG-13,Action,3868,117,2015
287,2015-03-19,Home,/movie/Home-(2015)#tab=summary,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2015
288,2018-12-19,Mary Poppins Returns,/movie/Mary-Poppins-Returns-(2018)#tab=summary,130000000,171958438,348901032,23523121,PG,Musical,4090,130,2018
289,2011-10-28,Puss in Boots,/movie/Puss-in-Boots#tab=summary,130000000,149260504,554987477,34077439,PG,Adventure,3963,90,2011
290,2010-11-05,Megamind,/movie/Megamind#tab=summary,130000000,148415853,321887208,46016833,PG,Adventure,3949,95,2010
291,2003-07-18,Bad Boys II,/movie/Bad-Boys-II#tab=summary,130000000,138540870,273271982,46522560,R,Action,3202,140,2003
292,2014-03-20,Rio 2,/movie/Rio-2#tab=summary,130000000,131538435,492846291,39327869,G,Adventure,3975,101,2014
293,2010-07-23,Salt,/movie/Salt#tab=summary,130000000,118311368,290650494,36011243,PG-13,Thriller/Suspense,3612,100,2010
294,2014-03-27,Noah,/movie/Noah#tab=summary,130000000,101200044,352831065,43720472,PG-13,Drama,3571,137,2014
295,2011-10-28,The Adventures of Tintin,/movie/Adventures-of-Tintin-The#tab=summary,130000000,77591831,373993951,9720993,PG,Adventure,3087,104,2011
296,2013-05-31,After Earth,/movie/After-Earth#tab=summary,130000000,60522097,251499665,27520040,PG-13,Action,3401,99,2013
297,2008-11-26,Australia,/movie/Australia-(2008)#tab=summary,130000000,49554002,215080810,14800723,PG-13,Drama,2721,165,2008
298,2013-07-19,R.I.P.D.,/movie/RIPD#tab=summary,130000000,33618855,79076678,12691415,PG-13,Action,2852,98,2013
299,2019-01-03,How to Train Your Dragon: The Hidden World,/movie/How-to-Train-Your-Dragon-The-Hidden-World-(2019)#tab=summary,129000000,160799505,521214533,55022245,PG,Adventure,4286,104,2019
300,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",/movie/Twilight-Saga-Breaking-Dawn-Part-1-The#tab=summary,127500000,281287133,688288353,138122261,PG-13,Drama,4066,117,2011
301,2000-05-19,Dinosaur,/movie/Dinosaur#tab=summary,127500000,137748063,356148063,38854851,PG,Adventure,3319,82,2000
302,2017-02-23,Logan,/movie/Logan-(2017)#tab=summary,127000000,226277068,614202315,88411916,R,Action,4071,135,2017
303,2014-12-18,Night at the Museum: Secret of the Tomb,/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary,127000000,113746621,353756621,17100520,PG,Adventure,3914,97,2014
304,2011-07-13,Harry Potter and the Deathly Hallows: Part II,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary,125000000,381193157,1316355322,169189427,PG-13,Adventure,4375,131,2011
305,2014-11-19,The Hunger Games: Mockingjay - Part 1,/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary,125000000,337135885,766575131,121897634,PG-13,Thriller/Suspense,4151,123,2014
306,2001-11-15,Harry Potter and the Sorcerer’s Stone,/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary,125000000,317871467,965054122,90294621,PG,Adventure,3672,152,2001
307,2019-12-04,Jumanji: The Next Level,/movie/Jumanji-The-Next-Level#tab=summary,125000000,316831246,798332900,59251543,PG-13,Adventure,4227,123,2019
308,2010-11-17,Harry Potter and the Deathly Hallows: Part I,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary,125000000,296131568,951767705,125017372,PG-13,Adventure,4125,146,2010
309,2006-05-19,The Da Vinci Code,/movie/Da-Vinci-Code-The#tab=summary,125000000,217536138,767820459,77073388,PG-13,Thriller/Suspense,3757,152,2006
310,2003-04-30,X-Men 2,/movie/X-Men-2-(2003)#tab=summary,125000000,214949694,406348630,85558731,PG-13,Action,3749,135,2003
311,2011-04-21,Fast Five,/movie/Fast-Five#tab=summary,125000000,210031325,630163454,86198765,PG-13,Action,3793,130,2011
312,2014-08-08,Teenage Mutant Ninja Turtles,/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary,125000000,191204754,485004754,65575105,PG-13,Adventure,3980,101,2014
313,2011-12-16,Sherlock Holmes: A Game of Shadows,/movie/Sherlock-Holmes-A-Game-of-Shadows-(2011)#tab=summary,125000000,186848418,535663443,39637079,PG-13,Action,3703,129,2011
314,2004-05-27,The Day After Tomorrow,/movie/Day-After-Tomorrow-The#tab=summary,125000000,186740799,555840117,68743584,PG-13,Adventure,3444,123,2004
315,2017-03-17,The Boss Baby,/movie/Boss-Baby-The#tab=summary,125000000,175003033,527965936,50198902,PG,Adventure,3829,97,2017
316,2010-04-01,Clash of the Titans,/movie/Clash-of-the-Titans-(2010)#tab=summary,125000000,163214888,493214888,61235105,PG-13,Action,3802,106,2010
317,2016-10-12,Trolls,/movie/Trolls#tab=summary,125000000,153707064,343242613,46581142,PG,Adventure,4066,93,2016
318,1998-05-19,Godzilla,/movie/Godzilla#tab=summary,125000000,136314294,376000000,93188384,PG-13,Action,3952,123,1998
319,2012-05-30,Prometheus,/movie/Prometheus#tab=summary,125000000,126477084,402448265,51050101,R,Thriller/Suspense,3442,124,2012
320,2012-08-10,The Bourne Legacy,/movie/Bourne-Legacy-The#tab=summary,125000000,113203870,280355920,38142825,PG-13,Thriller/Suspense,3753,135,2012
321,1997-06-20,Batman & Robin,/movie/Batman-and-Robin#tab=summary,125000000,107325195,238317814,42872605,PG-13,Action,2942,125,1997
322,2018-07-05,Skyscraper,/movie/Skyscraper#tab=summary,125000000,68420120,304868961,24905015,PG,Action,3822,103,2018
323,2020-01-03,The Call of the Wild,/movie/Call-of-the-Wild-The-(2020)#tab=summary,125000000,62342368,107360936,24791624,PG,Adventure,3914,100,2020
324,2012-08-03,Total Recall,/movie/Total-Recall-(Remake)#tab=summary,125000000,58877969,211856088,25577758,PG-13,Action,3601,117,2012
325,2016-12-21,Assassin’s Creed,/movie/Assassins-Creed#tab=summary,125000000,54647948,240759682,10278225,PG-13,Action,2996,116,2016
326,2016-12-29,Monster Trucks,/movie/Monster-Trucks#tab=summary,125000000,33370166,61642798,10950705,PG-13,Adventure,3119,104,2016
327,1999-08-27,The 13th Warrior,/movie/13th-Warrior-The#tab=summary,125000000,32698899,61698899,10267756,R,Action,2313,103,1999
328,2000-11-17,How the Grinch Stole Christmas,/movie/How-the-Grinch-Stole-Christmas-(2000)#tab=summary,123000000,260348825,345445403,55820330,PG,Adventure,3256,105,2000
329,2000-05-24,Mission: Impossible 2,/movie/Mission-Impossible-2#tab=summary,120000000,215409889,549588516,57845297,PG-13,Action,3669,126,2000
330,2000-06-30,The Perfect Storm,/movie/Perfect-Storm-The#tab=summary,120000000,182618434,328711434,41325042,PG-13,Drama,3407,129,2000
331,2016-07-20,Jason Bourne,/movie/Jason-Bourne#tab=summary,120000000,162192920,416168316,59215365,PG-13,Action,4039,123,2016
332,2022-02-10,Uncharted,/movie/Uncharted-(2022)#tab=summary,120000000,148648820,401748820,44010155,PG-13,Adventure,4275,116,2022
333,2007-06-15,Fantastic Four: Rise of the Silver Surfer,/movie/Fantastic-Four-Rise-of-the-Silver-Surfer#tab=summary,120000000,131921738,289480691,58051684,PG,Action,3963,91,2007
334,2012-11-21,Life of Pi,/movie/Life-of-Pi#tab=summary,120000000,124987022,619310368,22451514,PG,Drama,2946,125,2012
335,2007-02-16,Ghost Rider,/movie/Ghost-Rider#tab=summary,120000000,115802596,229545589,45388836,PG-13,Action,3620,110,2007
336,2018-04-09,Rampage,/movie/Rampage-(2018)#tab=summary,120000000,101028233,427947217,35753093,PG-13,Action,4115,107,2018
337,2003-06-27,Charlie's Angels: Full Throttle,/movie/Charlies-Angels-Full-Throttle#tab=summary,120000000,100814328,227163273,37634221,PG-13,Action,3485,106,2003
338,2013-08-09,Elysium,/movie/Elysium#tab=summary,120000000,93050117,286192091,29807393,R,Action,3284,109,2013
339,2013-04-19,Oblivion,/movie/Oblivion-(2013)#tab=summary,120000000,89107235,287916633,37054485,PG-13,Thriller/Suspense,3792,125,2013
340,2017-03-24,Power Rangers,/movie/Power-Rangers-(2017)#tab=summary,120000000,85364450,142531552,40300288,PG-13,Action,3693,124,2017
341,2002-07-19,Stuart Little 2,/movie/Stuart-Little-2#tab=summary,120000000,64956806,166000000,15115152,PG,Adventure,3282,77,2002
342,2014-02-12,RoboCop,/movie/RoboCop-(2013)#tab=summary,120000000,58607007,242981799,21681430,PG-13,Action,3372,116,2014
343,2004-06-11,The Chronicles of Riddick,/movie/Chronicles-of-Riddick-The#tab=summary,120000000,57712751,107212751,24289165,PG-13,Adventure,2759,119,2004
344,2015-08-05,The Fantastic Four,/movie/Fantastic-Four-The-(2015)#tab=summary,120000000,56117548,167849187,NA,NA,NA,NA,NA,2015
345,2008-05-09,Speed Racer,/movie/Speed-Racer#tab=summary,120000000,43945766,93394462,18561337,PG,Action,3606,135,2008
346,2005-07-22,The Island,/movie/Island-The-(2005)#tab=summary,120000000,35818913,163018913,12409070,PG-13,Action,3138,136,2005
347,2010-12-17,How Do You Know?,/movie/How-Do-You-Know#tab=summary,120000000,30212620,49628177,7484696,R,Romantic Comedy,2483,121,2010
348,2018-11-09,Outlaw King,/movie/Outlaw-King-(2018)#tab=summary,120000000,0,0,NA,R,Action,NA,117,2018
349,2022-12-02,Emancipation,/movie/Emancipation-(2022)#tab=summary,120000000,0,0,NA,NA,Thriller/Suspense,NA,132,2022
350,2010-06-23,Knight and Day,/movie/Knight-and-Day#tab=summary,117000000,76423035,258751370,20139985,PG-13,Action,3104,109,2010
351,2021-01-25,Tang Ren Jie Tan An 3,/movie/Tang-Ren-Jie-Tan-An-3-(China)#tab=summary,117000000,0,699084069,NA,R,Action,NA,136,2021
352,2018-10-02,Venom,/movie/Venom-(2018)#tab=summary,116000000,213511408,856081053,80255756,PG-13,Action,4250,112,2018
353,1999-05-19,Star Wars Ep. I: The Phantom Menace,/movie/Star-Wars-Ep-I-The-Phantom-Menace#tab=summary,115000000,474544677,1027044677,64810970,PG,Adventure,3126,133,1999
354,2005-05-19,Star Wars Ep. III: Revenge of the Sith,/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary,115000000,380270577,848998877,108435841,PG-13,Adventure,3663,139,2005
355,2002-05-16,Star Wars Ep. II: Attack of the Clones,/movie/Star-Wars-Ep-II-Attack-of-the-Clones#tab=summary,115000000,310676740,656695615,80027814,PG,Adventure,3161,143,2002
356,2001-11-02,"Monsters, Inc.",/movie/Monsters-Inc#tab=summary,115000000,290149425,560483719,62577067,G,Adventure,3649,92,2001
357,2013-07-26,The Wolverine,/movie/Wolverine-The#tab=summary,115000000,132556852,416456852,53113752,PG-13,Action,3924,126,2013
358,1997-02-07,Dante’s Peak,/movie/Dantes-Peak-(1997)#tab=summary,115000000,67163857,178200000,18479435,PG-13,Thriller/Suspense,2761,109,1997
359,2016-04-06,The Huntsman: Winter’s War,/movie/Huntsman-Winters-War-The#tab=summary,115000000,48003015,165149302,19445035,PG-13,Action,3802,113,2016
360,2002-06-14,Windtalkers,/movie/Windtalkers#tab=summary,115000000,40914068,77628265,14520412,R,Action,2898,134,2002
361,2019-03-06,Triple Frontier,/movie/Triple-Frontier-(2019)#tab=summary,115000000,0,0,NA,R,Action,NA,125,2019
362,2008-07-04,Astérix aux Jeux Olympiques,/movie/Asterix-aux-Jeux-Olympiques#tab=summary,113500000,999811,132999811,NA,Unrated,Adventure,NA,NA,2008
363,2010-12-24,Gulliver's Travels,/movie/Gullivers-Travels-(2010)#tab=summary,112000000,42779261,232017848,6307691,PG,Adventure,3089,87,2010
364,2017-12-08,Ferdinand,/movie/Ferdinand#tab=summary,111000000,84410380,288510892,13401586,PG,Adventure,3630,107,2017
365,2018-05-11,Deadpool 2,/movie/Deadpool-2#tab=summary,110000000,324591735,786362370,125507153,R,Action,4349,119,2018
366,2013-10-03,Gravity,/movie/Gravity#tab=summary,110000000,274092705,688214291,55785112,PG-13,Thriller/Suspense,3820,91,2013
367,2006-12-22,Night at the Museum,/movie/Night-at-the-Museum#tab=summary,110000000,250863268,579446407,30433781,PG,Adventure,3768,108,2006
368,2021-09-30,Venom: Let There be Carnage,/movie/Venom-Let-There-be-Carnage#tab=summary,110000000,213550366,501600379,90033210,PG-13,Action,4225,97,2021
